database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20P02820216_BEHC18_POS	20P02820217_BEHC18_POS	20P02820215_BEHC18_POS	20P02820224_BEHC18_POS	20P02820213_BEHC18_POS	20P02820210_BEHC18_POS	20P02820211_BEHC18_POS	20P02820219_BEHC18_POS	20P02820133_BEHC18_POS	20P02820132_BEHC18_POS	20P02820131_BEHC18_POS	20P02820130_BEHC18_POS	20P02820136_BEHC18_POS	20P02820135_BEHC18_POS	20P02820134_BEHC18_POS	20P02820139_BEHC18_POS	20P02820138_BEHC18_POS	20P02820024_BEHC18_POS	20P02820320_BEHC18_POS	20P02820026_BEHC18_POS	20P02820027_BEHC18_POS	20P02820021_BEHC18_POS	20P02820023_BEHC18_POS	20P02820028_BEHC18_POS	20P02820286_BEHC18_POS	20P02820096_BEHC18_POS	20P02820227_BEHC18_POS	20P02820120_BEHC18_POS	20P02820121_BEHC18_POS	20P02820122_BEHC18_POS	20P02820123_BEHC18_POS	20P02820124_BEHC18_POS	20P02820264_BEHC18_POS	20P02820126_BEHC18_POS	20P02820127_BEHC18_POS	20P02820128_BEHC18_POS	20P02820129_BEHC18_POS	20P02820266_BEHC18_POS	20P02820059_BEHC18_POS	20P02820058_BEHC18_POS	20P02820057_BEHC18_POS	20P02820051_BEHC18_POS	20P02820052_BEHC18_POS	20P02820295_BEHC18_POS	20P02820293_BEHC18_POS	20P02820288_BEHC18_POS	20P02820317_BEHC18_POS	20P02820199_BEHC18_POS	20P02820198_BEHC18_POS	20P02820195_BEHC18_POS	20P02820194_BEHC18_POS	20P02820196_BEHC18_POS	20P02820315_BEHC18_POS	20P02820190_BEHC18_POS	20P02820193_BEHC18_POS	20P02820192_BEHC18_POS	20P02820115_BEHC18_POS	20P02820114_BEHC18_POS	20P02820116_BEHC18_POS	20P02820110_BEHC18_POS	20P02820274_BEHC18_POS	20P02820176_BEHC18_POS	20P02820082_BEHC18_POS	20P02820205_BEHC18_POS	20P02820080_BEHC18_POS	20P02820084_BEHC18_POS	20P02820310_BEHC18_POS	20P02820306_BEHC18_POS	20P02820307_BEHC18_POS	20P02820298_BEHC18_POS	20P02820299_BEHC18_POS	20P02820303_BEHC18_POS	20P02820305_BEHC18_POS	20P02820240_BEHC18_POS	20P02820100_BEHC18_POS	20P02820105_BEHC18_POS	20P02820038_BEHC18_POS	20P02820032_BEHC18_POS	20P02820031_BEHC18_POS	20P02820030_BEHC18_POS	20P02820037_BEHC18_POS	20P02820269_BEHC18_POS	20P02820328_BEHC18_POS	20P02820060_BEHC18_POS	20P02820063_BEHC18_POS	20P02820064_BEHC18_POS	20P02820179_BEHC18_POS	20P02820178_BEHC18_POS	20P02820069_BEHC18_POS	20P02820175_BEHC18_POS	20P02820174_BEHC18_POS	20P02820173_BEHC18_POS	20P02820172_BEHC18_POS	20P02820171_BEHC18_POS	20P02820170_BEHC18_POS	20P02820203_BEHC18_POS	20P02820183_BEHC18_POS	20P02820180_BEHC18_POS	20P02820002_BEHC18_POS	20P02820006_BEHC18_POS	20P02820188_BEHC18_POS	20P02820189_BEHC18_POS	20P02820202_BEHC18_POS	20P02820271_BEHC18_POS	20P02820185_BEHC18_POS	20P02820229_BEHC18_POS	20P02820228_BEHC18_POS	20P02820164_BEHC18_POS	20P02820226_BEHC18_POS	20P02820092_BEHC18_POS	20P02820095_BEHC18_POS	20P02820162_BEHC18_POS	20P02820163_BEHC18_POS	20P02820220_BEHC18_POS	20P02820017_BEHC18_POS	20P02820016_BEHC18_POS	20P02820018_BEHC18_POS	20P02820089_BEHC18_POS	20P02820151_BEHC18_POS	20P02820153_BEHC18_POS	20P02820152_BEHC18_POS	20P02820154_BEHC18_POS	20P02820159_BEHC18_POS	20P02820158_BEHC18_POS	20P02820276_BEHC18_POS	20P02820238_BEHC18_POS	20P02820239_BEHC18_POS	20P02820234_BEHC18_POS	20P02820235_BEHC18_POS	20P02820236_BEHC18_POS	20P02820237_BEHC18_POS	20P02820230_BEHC18_POS	20P02820231_BEHC18_POS	20P02820232_BEHC18_POS	20P02820233_BEHC18_POS	20P02820048_BEHC18_POS	20P02820046_BEHC18_POS	20P02820042_BEHC18_POS	20P02820043_BEHC18_POS	20P02820040_BEHC18_POS	20P02820001_BEHC18_POS	20P02820322_BEHC18_POS	20P02820323_BEHC18_POS	20P02820326_BEHC18_POS	20P02820146_BEHC18_POS	20P02820147_BEHC18_POS	20P02820144_BEHC18_POS	20P02820145_BEHC18_POS	20P02820142_BEHC18_POS	20P02820143_BEHC18_POS	20P02820140_BEHC18_POS	20P02820141_BEHC18_POS	20P02820209_BEHC18_POS	20P02820208_BEHC18_POS	20P02820075_BEHC18_POS	20P02820073_BEHC18_POS	20P02820072_BEHC18_POS	20P02820079_BEHC18_POS	20P02820078_BEHC18_POS
CHEBI:16610	C7H19N3	NCCCCNCCCN	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	Spermidine					0.613												964668.5916	2411123.714	1475814.302	2758883.881	546079.294	721218.9163	1978331.305	1228992.548	2030421.403	2194031.989	1336411.856		971564.4301	1543932.799	1797521.066	1048350.671	1040781.102	664789.6873	1763804.778	1895794.243	1515494.026	866074.7662	2823481.269	629294.92	1439684.626	836211.7324	3228444.934	676363.1667	541426.9632	811268.2847	3226863.229	1355947.217	2700758.519	1391913.497	1420963.985	1115871.009	1112355.443	3710440.99	1173813.628	529676.3342	3050754.11	4646700.167	707415.8221	751224.8234	1744915.041	2246605.279	2869459.526	1324477.944	3320058.295	845034.1057	4268856.841	1971271.632	1989164.763	4850431.381	584628.6243	1755357.155	1965593.819	1091341.87	1984024.095	767408.4697	4847759.062	667344.3803	1254641.095	840885.3525	2012212.331	1349666.263	1591854.5	4192829.234	2762123.971	2626547.644	2944210.74	1174849.718	3586470.655	3077328.903	692459.3613	1073014.372	675753.7157	1913920.687	2555802.622	943815.9689	2029442.604	2100954.123	1901400.647	924585.453	2282424.569	527341.6083	1548363.808	2647665.701	743283.4449	633931.5913	1985365.972	661798.9582	868082.202	1086223.438	1125022.344	1165003.976	1241045.655	1966541.871	6605917.482	2088467.739	1870124.077	2374746.596	1587700.647	2916802.193	1087631.367	2820477.403	1994142.559	2034271.963	1375075.783	981257.4534	1018441.357	415112.5961	882107.4831	1014519.846	1541114.504	1210678.789	2283182.759	1571146.316	887484.7111	2638006.319	521260.9437	630857.739	696304.8324	992572.743	1382927.553	2669310.399	1946465.8	2454500.862	2569661.968	2277286.462	1545598.724	1415325.743	1302234.003	2037357.553	2927469.315	1027066.105	778251.7026	1342815.493	3460129.906	2245146.956	739386.8973	3338740.728	1284550.518	4940302.863	1310737.39	621964.3641	664931.4396	2415577.567	3329725.945	752800.4849	2562570.425	2398700.598	4761392.364	1558478.871	1824216.975	987750.1712	1373717.486	2332980.243	1791080.47
CHEBI:18019	C6H14N2O2	NCCCC[C@H](N)C(O)=O	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	L-lysine					0.613												177241226.6	143845289.1	212269907.8	186107196.2	298379429.2	170598137.1	142224688.7	196876737.4	226961277.6	205427330.5	268499141.7		215179969.1	231549656.1	197261610.4	272335953.1	279593271.8	225788476.1	153020392.3	240044672.2	183856629.9	135296728.4	247379059.7	54167433.23	174355121.5	179282606	246104746.3	232858322.5	197145566.5	284509979.8	258749235.3	209391925.5	151166145.6	221442392.2	195654200.6	227953582.4	166508563.5	144058704.2	245979820	170638326.4	194007452.2	151857217.8	222453763.8	86635915.87	128973598.7	139289639.3	132094773.7	240492013	176511178.3	247189086.9	182963801.9	235756362.4	121353490.7	248244786.9	275098433.6	125818061.5	251127324.3	240603378.9	95366318.65	246212081.3	152018048.1	176108309.2	217677466.8	186215620.3	207720986.3	238519534.9	144034182.6	130789341.7	112093025.1	143100028.4	135744018.4	110351249.9	114183003.5	221540317.3	239771652.9	216506640.4	322297376.4	275387956.2	309111422.2	236195105.3	190168321.1	141540813.5	155885700.4	162368434.8	83681853.94	224791261.7	236409851.5	202906875.9	126054114.3	228593257.3	161793114.9	251538003.2	264679790.7	200163441.3	45915402.3	171291396.2	175621790.1	181252535.4	128843732.9	195142461.8	206156932.7	191580526.8	196761401.4	91038386.32	275609487.6	218857635.5	222045600.6	192264323.5	233828626.3	251924683.8	153491966.7	148751210.6	193755463.9	160189380.4	267454009.2	236696223.8	221843702.6	178807450.4	262387130	158001450.4	174847031.7	220771735.3	199326752	182196814.1	100164193.6	129883085	99860277.87	83847866.68	173173863.6	165829554.4	166913949.1	136498631.8	110323770.9	156338321.6	106020024.5	147679675.6	268035026	167538357	298783559.8	224151724.4	180330578.2	122527031.3	161915370.9	144343197.1	236721312.9	177823096.7	239033242.2	202467106.5	212160100.4	207079921	269723163.1	263210519.1	191198151.8	169237910.5	247593445.4	211914750.6	175770298.3	166759816.9	283303372
CHEBI:17964	C6H11NO2	OC(=O)C1CCCCN1	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)	Pipecolate					0.614												172608969.9	141284994.8	207617789.2	181815091.2	291405010.4	166600803.1	139211308.1	192498610	221890280.5	200422518.4	262185334.3		210225338.3	226329195.4	192807960.2	266433382.1	273194216.7	220770150.1	149007110.4	234648589.3	179618350.2	133030655.6	243209383.5	53119162.04	170111744.9	174931743.3	240462846.1	228309192.6	192599528.7	278709575.7	253292397.7	205250502.9	147425562.9	216359892.1	191299234.4	222363438.9	161641010.9	139712340.9	239764301.9	167122417.6	188937849.7	148469714.1	218410829.9	84622145.61	125306236.5	136038228	129090312.5	235993378.8	172161847.9	241858017.7	178866252.3	230927038.6	118387889.4	242823729.9	269236554.5	123048276.7	245233464.8	235117470.8	93350434.01	239795102.6	148509054.8	171893567.7	212948671.4	181847906.2	203491432.4	232689318.4	140336171.1	127588221.6	109212363.6	139376978.6	132123490.3	107501143.8	111415903.1	216566883.6	234845955.9	211658198.4	315440234.2	270352962.9	301760641.4	230141844.8	185965369.1	137973054.9	152987221.5	158882818.3	81558761.99	219514324.7	230200747.6	198649953.7	123882739.4	223748325.8	158337671.6	246162686.6	258731057.9	193670244	44872928.38	167374539	171446571.1	177274342.2	125191504.1	190392106.7	200877062.5	186996493.6	192660125.5	88620409.42	269122006.2	214092172.5	216816608.9	187565087.9	228714967.6	245857369.1	150008277.1	145240900.2	189474018.7	156864164.5	261017289.1	231232964.9	216471160.1	174295458.2	256186554.4	154521557.6	171902818.2	214913043	195764328.2	178070357.5	98090308.1	126959140.8	97481197.04	80917511.84	169012426.5	161997494.8	162380982.3	132873393.1	107351048.9	152635676.8	103325507.2	144560604.1	262696163.7	163775935	292668898.3	219288752.3	176077839.6	118956332.6	157830297.5	140872167.9	230781338.5	174727052.2	233724395.9	198139016.2	207867915.1	202035843.8	262874000	257367345.2	186656779.9	165223217.7	241940208.6	206904203.1	171339157.8	163171522	277729352.2
CHEBI:16176	C5H12N2O2	NCCC[C@@H](N)C(O)=O	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m1/s1	D-ornithine					0.614												65890927.15	30472602.94	43969718.75	38433424.37	68587599.15	65633276.58	31548978.2	58185373.62	44161404.62	71324798.72	65990181.59		61427176.03	56809389.03	36487276.4	58881940.58	97010361.68	29750253.4	43921673.53	60887676.19	27010018.87	23808946.85	47628875.2	12148322.68	58825165.27	35502431.73	140047687	52114227.18	95787431.17	49022356.35	55203048.51	35433614.41	37577355.03	58612443.11	48742735.88	46202566.64	69833260.65	36739767.21	61018262.92	49942002.13	47759540.06	25410750.47	52470736.48	14543357.92	35468941.29	37522645.87	36672694.18	119367866.5	100470504.3	95217055.81	95913516.9	140400466.2	35627077.7	160390567.7	91520036.6	58530400.88	48181235.6	45333678.06	176544101.7	35846241.98	26664938.66	92816747.8	41104977.55	143986274.8	42730062.29	74697371.59	52557196.4	46745906.05	35036398.68	50058015.05	39599092.24	37242976.7	34869718.51	35379340.27	90026334.53	54291286	37221084.02	43522989.24	45427967.27	72689478.63	40464886.19	37538815.04	43411240.19	107410872.8	11236509.06	49179978.38	115434487.1	83463935.4	27154261.47	79782528.81	98124230.83	57002588.35	72912380.09	89833854.44	24734529.16	84540091.99	113596060.5	101553104.1	25647224.99	40887238.72	94667469.94	89658574.17	108162906.6	53063985.33	154197155.7	46743194.02	56102486.38	42985887.14	63970853.09	38021537.84	23920069.66	63374378.29	43708854.18	40656763.36	48266118.96	59850379.34	62661834.92	228026231.1	43768722.71	57564172.58	44256315.35	40247909	33700718.15	41364860.56	15498502.7	85310237.8	63650936.43	44342838.76	51916693.41	45555722.23	61325993.7	45819166.08	41674558.34	95332419.06	70048673.49	28208009.87	50918891.64	72763864.31	62665207.08	43007560	30478828.55	32152605.27	41531447.41	37293755.39	58349434.24	42304314.88	37107975.23	33389189.14	50762916.11	52776203.66	66081781.68	68861631.78	83346553.94	118974729.1	34957157.66	35879613.15	47774177.3	29969900.94	52020927.51
CHEBI:17311	C9H21N2O2+	OC(=O)[C@@H](N)CCCC[N+](C)(C)C	InChI=1S/C9H20N2O2/c1-11(2,3)7-5-4-6-8(10)9(12)13/h8H,4-7,10H2,1-3H3/p+1/t8-/m0/s1	Nepsilon,nepsilon,nepsilon-trimethyllysine					0.682												31051099.04	5354592.483	12317350.84	12494649.55	12276300.5	23393606.09	14785949.29	14851534.25	27970926.37	18466378.99	17980528.89		21981489.69	28990971.74	17438453.63	16440559.39	25227844.5	7952028.828	21163792.23	14517017.62	32824990.96	22064561.09	13484370.57	36927797.68	11970785.06	21704206.91	14017599.68	33448344.02	19658427.03	15788775.72	13785444.37	14146142.14	11986055.79	16867929.98	11394248.35	12711172.61	27223170.57	19703260.06	17284303.79	10192968.8	17204057.39	11959273.89	16848337.74	36305787.75	13358705.36	16248205.59	9705827.718	8601620.323	9239724.327	8073863.537	9348947.001	9166577.133	22538021.94	12389940.85	13831105.8	7224307.933	26940730.03	15899852.04	32067990.15	12777541.07	11193660.76	7287357.227	50393007.52	9148840.859	20344879.82	23217755.45	16693523.77	21712232	13222534.52	8359622.813	13757831.67	13881129.58	8066750.596	15705201.81	19937522.58	13687801.87	18374700.3	16799889.49	20572961.2	15986532.27	7758865.671	7847543.47	12458004.53	19491800.59	27653629.92	28979026.08	10067142.73	7493372.184	22765568.95	7326854.229	14006250.85	10359835.67	12903760.55	5713366.64	14451267.97	11844855.99	9078141.316	7394944.035	9956597.917	51387870.34	10720656.82	8587856.772	6699565.458	10922663.66	7315624.477	15784668.55	17312035.58	35498321.58	15841948.49	6620020.562	16084008.35	10610100.86	13149125.83	8867017.857	18259037.01	12563858.68	15003900.17	24659845.59	14122095.32	27456571.76	13400715.05	18062366.46	15881031.17	12382586.44	31192220.85	8288155.712	11946252.82	3989882.089	13549325.15	12167323.16	10594999.42	14383238.69	8644806.456	10224533.87	12096676.81	47469407.28	22348294.61	83397387.18	19670438.72	15831432.33	17586803.81	12034665.15	15368101.95	11885407.43	17674492.36	17215496.96	9634195.007	13208287.68	7281651.912	17985425.97	19152677.08	14170196.47	10175682.08	4711219.219	57363161.47	21301668.72	23808807.37	13248863.54	12168427.58
CHEBI:15354	C5H14NO+	C[N+](C)(C)CCO	InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1	Choline					0.707												616692212.4	611817927	715483667.5	742612221.8	755349510.8	640117590.8	473391652.2	773335107.1	749203577.4	827797111.1	987377889.6		925545257.5	869669476.3	752097269	1137889865	836523794	853015815.5	479661820	1222107861	836460482.8	682721422.7	1055702233	461209521.7	483496136.9	791801760.4	783259812.1	853381471.3	1187772477	905451402.8	1088839144	833821111	517181100.8	1293296322	886779887.3	650061691.6	856036249.8	397870901.6	769622819	533940973.3	816070288	1048707489	969503864.8	838145052.2	471672187.2	809424791	391570508.4	997010458.4	814992164.7	971173012.1	785869083.2	887109909	457836061.2	635963442.9	1057894313	775206484.7	1177481926	1033596558	648592517.3	745659627	571877965.7	778725392.2	729328754.9	960996205.8	813990447	1061806023	409465819.8	487139926	657997217.9	457440444.7	615306528	481477527.1	564659943.1	712509795.3	816061342.8	596274296.9	721595338.3	844853031.9	1144764300	717513338.9	704187952.9	435088347.6	504709762.6	695402363.3	344518484.5	657852645.8	785007932.6	701620618.4	1160402591	624792831	711979227.4	859634678.9	999627793.4	745270679.3	647826795.3	992153579.6	905027108.6	833375159.3	434962884	551938880.3	757486794.1	864775218.4	938548413.1	467117772.7	851760904.8	636711411.4	768704525.4	1158186491	969369495.4	587096624.6	799586752.6	777030290.9	497611856.4	585065797.9	1145949674	836024083.4	960711884.9	724377879.4	598471317.7	742974002.9	671452125.7	562228173.9	496319605.3	608871583.7	678286918.9	468020742	317255097.6	436099248.8	402757698.1	429322932.3	468792652.1	259582316	368620901.6	324014554.3	352265779.4	735929288.4	719988877.1	367471938.4	840549153	706559426.1	644369847.6	358349700.7	457106155.2	636980467.7	990937197.1	907141996.4	758892178.2	826372589.2	898943093.6	914453834.6	865927874.9	916377497.4	741190593	909454861.6	613843583.3	772295629.6	980684672.8	791602238.4	727289370.7
CHEBI:15971	C6H9N3O2	N[C@@H](Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	L-histidine					0.718												159824255.1	218350609.4	410302224.2	58686841.43	295754406.4	113646286	173274045	135705437.8	230120829.6	226163410.1	166294479.5		212835841	215765788.1	321825649.3	164655100.1	423127659.5	125856411.5	112152895.1	149003473.3	83921335	76250993.65	110204045.9	23874035.76	163965184	63748962.52	260814305	284205965.9	191971359	218971366	170853775.4	107762847.4	149235685.7	156239015.3	71018960.41	177750809.7	151655959.6	123158412.1	71218381.78	149448373.2	191887197.1	152597436.3	131602421.3	132979820.5	104523423.6	89347046.3	93874458.28	199451949.2	175643728.6	249544225.4	152196372	188714119	129755407.8	216849675.6	149335222.3	127058085.1	138357539	202710486.7	46976851.33	142133326.3	52962082.93	164586824.9	194993673.2	126183376.9	109857642.5	94895802.32	156256633.1	135781378.5	153166841.2	99611114.88	165960608.3	74434337.64	74568763.76	177700967.4	184678607.2	253659866.4	206301424.1	242720522.6	91566877.94	104680366.1	163498528.4	175119959	104576884.9	202480501.4	28541983.58	146308462.2	122819140	192132212.1	61073882.77	158016783.4	147712170	278874855	262023980.1	226994789.1	43677831.68	160194688.1	145079355.3	119254541	54594111.89	48458869.1	177488775.2	169628556.5	157124953.6	82759700.47	168706510.4	152701655.1	160744140.9	51589159.07	96544647.35	189724036.2	117866153.1	138200344.3	104925536.1	146557239.4	194147305.3	239324257.5	231115977.9	108149784.6	186568505.8	107921103	192555545	82395176.9	168473046.5	155290997.5	55267195.19	182266607.3	222243863.4	124112685.4	141449765.1	110659203.9	262937434	208794785.9	89738379.29	114310487.5	166186758.7	98063213.18	162943604.8	184470556.8	188866332.7	122157675.8	110773613.7	101088081	125648500.4	104015512.2	98528611.33	143869793.6	280211421.7	116631649.3	271035603.7	216164431.1	167983594.5	127817147.6	137569952.7	124488234.4	74234208.29	107111818.7	117702361.1	237983317.4	285737045.9
CHEBI:16467	C6H14N4O2	N[C@@H](CCCNC(N)=N)C(O)=O	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	L-arginine					0.718												447531799.9	165367725.3	277641442	213869527.5	371598906.8	361037312.4	273161342.7	242064494.5	307338490	202325873.5	122146194.4		189256539.4	104989246.9	318175437.1	193542354	331844122	281934744.4	83611002.75	191144042.1	156018290	157876137.3	203122481.9	54799389	147582251.6	36876141.14	279644840.8	213894738.5	242874426.3	99299578.91	206725095.2	178775819.1	244882937.2	185847020.7	201813980.5	262445886.8	193713746.6	210919961	181805967.1	80150563.61	249990991.6	146058901.3	144302048.4	81759220.77	105586912.5	180910919.5	146460398.6	380258262.5	359203276.2	245464276.4	194632140.8	252718566	127525762.8	307948694.7	311496762.3	225377157.8	259941252.2	249912804.3	88890888.99	380927983.4	41419591.83	123550707.9	226150094.2	304045250.7	249097957.4	261529368	95691858.76	85007316.44	88530622.42	120142891.1	200147294.3	59141498.43	29997721.39	300963862.6	248339722.8	212697878.8	519954461.8	90362141.88	279536270.4	288011102.8	157965893.7	132116663	157100662	212060356.5	23892102.11	229709585.9	397631491.5	277808966.6	85266340.21	417408157.4	249857087	261402112.8	439587518.9	381613345.5	87355051.4	370623185.6	285817667.2	329439029.6	95282869.5	145309841.7	299583301.5	252602559.2	285401955.3	60793536.88	321822582.8	361101809.2	357432685.8	88210220.93	406594938.1	328273250.7	159503403.7	194089079.2	196990595	208166636.6	277023569.9	293793129.9	224300697.7	726594099.3	294867598	183984797.1	248953972.5	260606269	190366528.9	365857416.8	23437508.14	171041947.2	260894715.5	107028227.3	114974202.4	138414379.2	128320802.4	112591877	52569609.64	131423671.8	96204999.86	115941713.2	401733716.7	55482181.56	414795734.3	212803798.9	242051842.9	115478275.5	109747911.1	121482015	112011287.3	170776235.5	282675525	180156174.3	222978909.6	226453222.9	343645894.7	86849260.44	254968295.4	313698406.3	342950937.5	241008280.7	273072695.5	226129165.1	213567388.7
CHEBI:16797	C7H9N2O+	C[n+]1cccc(c1)C(N)=O	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	1-methylnicotinamide					0.719												1392936.985	2252441.841	1774192.973	1287792.345	1550196.207	1191915.764	3036438.213	2188138.217	10156211.31	6064763.947	13699187.34		6671534.588	5363753.026	5463635.384	9943732.649	13629281.83	3590158.805	5396287.205	4563865.565	19480592.13	58390724.89	7869907.254	118323149.1	1506375.944	5800110.529	1691676.739	9731243.498	8789252.387	13140457.11	4768600.176	7809474.703	4534163.309	2108092.591	8985402.566	4223555.055	24204665.54	2564255.918	12364190.04	2264753.508	6564386.263	2479051.948	3504427.785	7356793.556	2531979.889	29487609.38	2750884.633	2015549.586	2629405.568	2715238.516	2475240.232	2088641.501	4089695.232	5285969.519	1219630.003	856663.0706	7309750.253	4536605.757	12972272.47	9683545.845	7461606.533	3609762.424	5003161.035	1566535.12	8929945.456	835496.7428	6722194.234	2032568.72	2286341.372	2445728.634	5301778.437	2953007.468	8267651.936	6517269.614	6368545.959	11308506.34	8517157.387	1565094.679	4830648.135	7531394.085	3893315.643	6103996.449	5296761.151	7636283.36	686460.3917	7834168.324	5179946.752	3729771.882	44320346.67	6133714.865	5030391.089	2550186.856	1805743.941	4241670.428	11316323.07	9112408.397	5281115.847	5308394.543	2429629.647	2447331.902	1752292.91	2776969.905	786690.9513	3045154.667	7190920.84	1830814.517	2669095.517	5760275.552	2040180.819	4210690.37	1298192.122	3304096.729	4123708.482	3185664.907	10138471.88	6025671.893	5342783.962	7300943.157	9261629.691	6901422.353	3548683.847	1400756.412	3866623.721	1819150.081	19050603.35	2355119.484	1936731.99	3059744.466	1871504.649	2001072.041	5745566.247	1923949.316	1950268.842	3930786.43	23688987.47	28514596.23	2522734.348	11906732.29	5692912.526	4898336.42	1645168.421	7777943.566	3694308.087	5590972.73	3491060.704	4498668.154	6836555.219	5443675.04	6446968.166	22079982.74	6071549.964	20888345.63	2343579.024	1107407.761	12202336.46	4769162.469	1423705.697	4112793.112	8086797.242
CHEBI:16344	C3H7N3O2	C(CNC(=N)N)(O)=O	InChI=1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)	Guanidinoacetate					0.721												5218263.148	2092494.272	4319865.782	3668759.261	3124399.184	5351326.566	3243910.837	4169914.248	3290087.42	3871520.129	3288568.572		2931141.449	4862075.765	3866122.264	2615475.316	3106635.225	4961233.619	2897165.53	3494073.783	653736.2828	747523.3212	2711199.451	432087.9422	2929089.364	2364633.252	2303504.332	2988086.333	2504806.139	2755396.707	4432136.659	1466846.371	2348723.919	4121725.692	3349638.892	3291196.141	2699771.873	2618505.592	3580111.672	1930247.164	2401672.326	1674684.802	2015749.13	1079290.562	1659465.421	1057930.347	1847643.218	2203569.933	2441342.468	3018647.765	1871696.626	1788078.97	3230817.819	2064526.722	1758364.492	2128532.887	1462841.774	4133760.259	877610.5078	3516312.944	797822.4506	2537095.157	3999543.635	586995.1364	1907020.929	3649224.976	2567762.518	3541356.918	2441729.174	2945099.986	2246647.303	2591804.506	3006220.618	3467402.59	3276237.031	2306057.296	4296851.113	3173304.502	1937912.776	3071047.367	2406735.547	2801995.29	5183357.386	3263314.427	1484286.073	3939872.61	2173133.112	2510738.961	560536.0715	2253718.914	2779214.764	2834951.809	3368108.424	1708132.344	2615617.037	1734206.662	1391534.941	1790995.457	1566670.785	1263077.019	2484439.98	1858219.44	1678891.218	1628669.101	1596866.521	3908989.585	3464819.867	581957.8344	3127670.258	4509694.115	3225241.285	2815455.679	7117769.415	2104254.363	3021557.415	2694069.111	1887932.419	1086211.206	4317382.008	1933605.78	2678673.102	4970628.048	2704187.05	4520687.391	474575.3589	2536995.102	2784019.715	1702208.77	1814378.629	2440619.97	2565700.645	2453666.935	2552375.415	1401874.786	2155561.97	1501485.173	4195258.733	1774799.22	2046749.332	2556175.526	3857036.025	1104089.436	3237730.626	2090985.144	2774068.643	3690898.499	2538341.371	3649363.913	2272136.58	4090716.28	3913955.956	2646624.364	1629219.556	1892296.97	1364647.382	4093364.816	2500199.271	3118181.513	2218542.432
