"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1-pyrroline","1-Pyrroline","HMDB0012497","79803","19092","C15668",NA,"C1CC=NC1","1"
"Acrylamide","Acrylamide","HMDB0004296","6579","28619","C01659",NA,"NC(=O)C=C","1"
"Aminoacetone","Aminoacetone","HMDB0002134","215","17906","C01888","6502","CC(=O)CN","1"
"beta-Aminopropion aldehyde","3-Aminopropionaldehyde","HMDB0001106","75","18090","C05665","6007","NCCC=O","1"
"L-Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"(R)-Lactaldehyde","D-Lactaldehyde","HMDB0006458","439350","17167","C00937",NA,"C[C@@H](O)C=O","1"
"(S)-Lactaldehyde","Lactaldehyde","HMDB0003052","439231","18041","C00424","3214","C[C@H](O)C=O","1"
"Hydroxyacetone","Hydroxyacetone","HMDB0006961","8299","27957","C05235",NA,"CC(=O)CO","1"
"Propionate (n-C3:0)","NA","NA","NA","NA","NA","NA","NA","0"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"beta-Alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"D-Alanine","D-Alanine","HMDB0001310","71080","15570","C00133",NA,"C[C@@H](N)C(O)=O","1"
"D-Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"3-Hydroxypropanoate","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"L-Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Dihydroxyacetone","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","OCC(=O)CO","1"
"cyanosulfurous acid anion","Cyanosulfurous acid anion","HMDB0012916",NA,NA,NA,NA,"O[S](O)C#N","1"
"Sulfate","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"4-Methylpentanal","4-Methylpentanal","HMDB0001318","129","17998","C02373","6155","CC(C)CCC=O","1"
"(S)-2-Aminobutanoate","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
"N,N-Dimethylglycine","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"4-Aminobutanoate","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"3-Aminoisobutyric acid","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(O)=O","1"
"D-3-Amino-isobutanoate","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","16320","C01205","6599","C[C@H](CN)C(O)=O","1"
"L-3-Amino-isobutanoate","(S)-beta-Aminoisobutyric acid","HMDB0002166","439434","33094","C03284","6520","C[C@@H](CN)C(O)=O","1"
"L-Serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"D-Serine","D-Serine","HMDB0003406","71077","16523","C00740","6920","N[C@H](CO)C(O)=O","1"
"2-Hydroxyiminostilbene","2-Hydroxyiminostilbene","HMDB0060652","13103864","80599","C16604",NA,"OC1=CC=C2NC3=CC=CC=C3C=CC2=C1","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"trans-1,2-Dihydrobenzene-1,2-diol","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","10702","C04221","6046","O[C@@H]1C=CC=C[C@H]1O","1"
"acetamidopropanal","Acetamidopropanal","HMDB0012880","5460495","30322","C18170",NA,"CC(=O)NCCC=O","1"
"D-Proline","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"L-Proline","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"Chloroacetic acid","Chloroacetic acid","HMDB0031331","300","27869","C06755",NA,"OC(=O)CCl","1"
"Glycine betaine","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"5-Aminopentanoate","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(O)=O","1"
"L-Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"L-Allo-threonine","L-Allothreonine","HMDB0004041","99289","28718","C05519","7007","C[C@H](O)[C@H](N)C(O)=O","1"
"L-Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"Benzoate","benzoate","HMDB0304270","242","16150",NA,NA,"[O-]C(=O)C1=CC=CC=C1","1"
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","HMDB0011718","126","17597","C00633",NA,"OC1=CC=C(C=O)C=C1","1"
"2-Hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"(R)-3-Hydroxybutanoate","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"(S)-3-Hydroxybutanoate","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","17290","C03197",NA,"C[C@H](O)CC(O)=O","1"
"(S)-3-Hydroxyisobutyrate","(S)-3-Hydroxyisobutyric acid","HMDB0000023","440873","37373","C06001","483","C[C@@H](CO)C(O)=O","1"
"4-Hydroxybutanoic acid","gamma-Butyrolactone","HMDB0000549","7302","42639","C01770","5533","O=C1CCCO1","1"
"Thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"Imidazole-4-acetate","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","OC(=O)CC1=CN=CN1","1"
"5,6-Dihydrothymine","5,6-dihydrothymine","HMDB0304210",NA,"27468","C00906",NA,"CC1CNC(=O)NC1=O","1"
"5-Oxoproline","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"L-1-Pyrroline-3-hydroxy-5-carboxylate","Pyrroline hydroxycarboxylic acid","HMDB0001369","1059","27391","C04281","6196","OC1CC(N=C1)C(O)=O","1"
"1-Pyrroline-4-hydroxy-2-carboxylate","1-Pyrroline-4-hydroxy-2-carboxylate","HMDB0002234","440282","16352","C04282","6564","OC1CN=C(C1)C(O)=O","1"
"4-Methyl-2-oxopentanoate","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"Adipate semialdehyde","Adipate semialdehyde","HMDB0012882","440918","2490","C06102",NA,"OC(=O)CCCCC=O","1"
