m/z,retention_time,p-value,t-score,custom_id
85.0278,59,0.002657217,-3.55,AE_pos_85.0278_59
85.0472,124,0.730810186,-0.35,AE_pos_85.0472_124
85.0653,68,0.08650895,1.83,AE_pos_85.0653_68
85.1007,16,0.057916123,-2.04,AE_pos_85.1007_16
86.0595,67,0.076788744,-1.89,AE_pos_86.0595_67
86.0595,468,0.45067053,0.77,AE_pos_86.0595_468
87.0435,31,0.542145229,-0.62,AE_pos_87.0435_31
87.0546,55,6.57E-12,-17.64,AE_pos_87.0546_55
87.0993,53,0.09367839,1.78,AE_pos_87.0993_53
87.9232,24,0.195247174,-1.35,AE_pos_87.9232_24
88.0221,43,0.470915112,-0.74,AE_pos_88.0221_43
88.0387,85,0.00363104,-3.4,AE_pos_88.0387_85
88.0572,63,0.55370154,-0.6,AE_pos_88.0572_63
88.0751,102,0.129139179,-1.6,AE_pos_88.0751_102
88.5085,83,0.01066755,-2.89,AE_pos_88.5085_83
89.0077,107,0.63838853,-0.48,AE_pos_89.0077_107
89.0704,504,0.755090883,0.32,AE_pos_89.0704_504
89.4647,559,0.450354662,-0.77,AE_pos_89.4647_559
89.4648,56,0.350810279,-0.96,AE_pos_89.4648_56
89.506,54,0.373320712,-0.92,AE_pos_89.506_54
89.5063,552,0.853337218,-0.19,AE_pos_89.5063_552
90.0544,514,0.822436696,0.23,AE_pos_90.0544_514
90.5062,394,0.399091102,0.87,AE_pos_90.5062_394
90.5059,29,0.613677073,0.51,AE_pos_90.5059_29
90.5254,470,0.649647889,0.46,AE_pos_90.5254_470
90.5256,40,0.813150759,-0.24,AE_pos_90.5256_40
90.9762,47,0.679889483,-0.42,AE_pos_90.9762_47
91.0173,165,0.685784045,-0.41,AE_pos_91.0173_165
91.0231,49,0.445128754,-0.78,AE_pos_91.0231_49
91.0271,87,0.085182654,1.83,AE_pos_91.0271_87
91.027,331,0.19264203,-1.36,AE_pos_91.027_331
91.5039,415,0.608153848,0.52,AE_pos_91.5039_415
91.504,25,0.327328602,-1.01,AE_pos_91.504_25
91.542,38,0.001033527,4,AE_pos_91.542_38
92.0571,232,0.243474216,-1.21,AE_pos_92.0571_232
92.5219,37,0.448640756,-0.78,AE_pos_92.5219_37
94.0646,215,0.762123505,-0.31,AE_pos_94.0646_215
95.085,268,0.123676506,-1.63,AE_pos_95.085_268
95.5225,28,0.630211606,0.49,AE_pos_95.5225_28
96.0551,150,0.684536186,-0.41,AE_pos_96.0551_150
96.0551,512,0.121636406,1.63,AE_pos_96.0551_512
96.0802,91,0.024672537,-2.48,AE_pos_96.0802_91
96.0802,431,0.850665641,0.19,AE_pos_96.0802_431
96.5145,50,0.243467004,1.21,AE_pos_96.5145_50
96.5144,359,0.27395652,-1.13,AE_pos_96.5144_359
96.9213,106,0.967631056,-0.04,AE_pos_96.9213_106
96.9588,38,0.703726075,0.39,AE_pos_96.9588_38
96.9601,541,0.249557713,-1.19,AE_pos_96.9601_541
97.5139,369,0.315819918,-1.04,AE_pos_97.5139_369
97.5139,67,0.016423425,-2.68,AE_pos_97.5139_67
97.9684,21,0.787136174,-0.27,AE_pos_97.9684_21
97.9908,31,0.694328118,-0.4,AE_pos_97.9908_31
98.0133,63,0.268631724,-1.15,AE_pos_98.0133_63
98.0131,364,0.72186374,0.36,AE_pos_98.0131_364
98.0596,513,0.579649648,-0.57,AE_pos_98.0596_513
98.47,339,0.887494728,-0.14,AE_pos_98.47_339
98.4701,561,0.888095655,0.14,AE_pos_98.4701_561
98.5115,389,0.604595888,-0.53,AE_pos_98.5115_389
98.558,527,0.006405341,-3.13,AE_pos_98.558_527
98.9429,528,0.62953567,-0.49,AE_pos_98.9429_528
98.956,415,0.155169409,1.49,AE_pos_98.956_415
98.956,23,0.02332118,-2.51,AE_pos_98.956_23
98.9607,21,0.827994506,-0.22,AE_pos_98.9607_21
98.9834,527,0.000240872,-4.7,AE_pos_98.9834_527
98.9942,28,0.432968886,-0.8,AE_pos_98.9942_28
99.0017,527,0.152676556,-1.5,AE_pos_99.0017_527
99.0132,66,0.971299155,-0.04,AE_pos_99.0132_66
99.0128,521,0.025727495,-2.46,AE_pos_99.0128_521
99.0191,57,0.112530316,1.68,AE_pos_99.0191_57
99.0206,528,0.800823378,0.26,AE_pos_99.0206_528
99.0436,248,0.603882089,0.53,AE_pos_99.0436_248
99.0896,56,9.28E-08,-9.15,AE_pos_99.0896_56
99.4119,526,0.002373667,-3.61,AE_pos_99.4119_526
99.5117,31,0.289929731,-1.09,AE_pos_99.5117_31
99.5308,39,0.06214628,2.01,AE_pos_99.5308_39
99.9867,26,0.39615002,-0.87,AE_pos_99.9867_26
99.9873,479,0.005125558,-3.24,AE_pos_99.9873_479
100.0133,35,0.72002858,0.36,AE_pos_100.0133_35
100.0222,130,0.658221017,0.45,AE_pos_100.0222_130
100.0283,39,0.28705575,-1.1,AE_pos_100.0283_39
100.0324,38,0.019826737,2.59,AE_pos_100.0324_38
100.0751,559,0.105574673,-1.72,AE_pos_100.0751_559
100.1115,132,0.073680722,-1.91,AE_pos_100.1115_132
100.5093,24,0.227347234,-1.26,AE_pos_100.5093_24
100.9308,25,0.219534471,-1.28,AE_pos_100.9308_25
100.9562,21,0.723714591,0.36,AE_pos_100.9562_21
100.9877,525,0.000388058,-4.47,AE_pos_100.9877_525
101.0108,22,0.478226675,0.73,AE_pos_101.0108_22
101.0589,521,0.431375854,0.81,AE_pos_101.0589_521
101.5081,30,0.204062035,-1.32,AE_pos_101.5081_30
101.5082,557,0.13322987,1.58,AE_pos_101.5082_557
101.9836,29,0.886200477,-0.15,AE_pos_101.9836_29
102.0124,28,0.560569181,-0.59,AE_pos_102.0124_28
102.0333,419,0.2716131,1.14,AE_pos_102.0333_419
102.0334,47,0.701109079,0.39,AE_pos_102.0334_47
