m/z,retention_time,p-value,t-score,custom_id
70.06524299,44.39722633,0.15327568,-2.008317679,M70.065243T44.3972
70.1625283,573.480957,0.955714097,-0.100394166,M70.162528T573.481
70.5686089,582.7159119,0.000594416,4.468158046,M70.568609T582.7159_1
70.71838733,490.9965515,0.100260631,2.258610817,M70.718387T490.9966_1
70.81939755,582.6420898,0.003811902,3.749865372,M70.819398T582.6421_2
70.94194356,765.5021973,0.633424232,0.808116499,M70.941944T765.5022
70.95804937,4.472245216,0.859496461,0.328421348,M70.958049T4.4722
70.95804756,28.66602612,0.617095182,0.83822453,M70.958048T28.666
70.98059106,755.3520203,0.816993906,0.411692143,M70.980591T755.352
71.0292727,34.88931274,0.393037025,1.295530353,M71.029273T34.8893
71.04896446,491.0286865,0.010779359,3.321651564,M71.048964T491.0287_2
71.08536251,617.2400513,0.642309622,0.791044593,M71.085363T617.2401
71.92940041,773.2279053,0.733444493,-0.59683346,M71.9294T773.2279
72.04416496,582.5190735,0.006766774,3.525478419,M72.044165T582.5191
72.06432701,57.32001305,0.763078193,0.531505064,M72.064327T57.32_1
72.08025135,56.75626373,0.363916262,1.366194084,M72.080251T56.7563_2
72.09752198,57.33372879,0.668156093,0.735103729,M72.097522T57.3337_3
72.93698961,765.7362671,0.622553084,0.827247376,M72.93699T765.7363_1
72.95761541,765.7723389,0.103539442,2.24193412,M72.957615T765.7723_2
73.05214487,428.4977875,0.148702479,2.028773358,M73.052145T428.4978
73.06503016,655.2122192,0.937847787,-0.152895981,M73.06503T655.2122
73.06498269,599.5297852,0.164886503,1.961587523,M73.064983T599.5298
73.06487464,517.4039917,0.773430374,0.507918957,M73.064875T517.404
73.0648702,474.5842743,0.064290811,2.494125802,M73.06487T474.5843
73.06488357,453.9545593,0.278590998,1.589665831,M73.064884T453.9546
73.06485512,205.2423553,0.000350659,4.669094955,M73.064855T205.2424
73.06477359,533.7743835,0.891014949,-0.261061791,M73.064774T533.7744
73.08427596,48.82106781,0.324140715,1.464117328,M73.084276T48.8211
73.16082367,491.0286865,0.651888547,0.77214279,M73.160824T491.0287_2
73.94507661,773.4248047,0.54422844,0.98033077,M73.945077T773.4248
74.02353939,162.3280334,0.057151237,2.557712885,M74.023539T162.328
74.02336367,199.3932266,0.677466853,-0.714219215,M74.023364T199.3932
74.06017635,43.18345451,0.7755572,0.504408301,M74.060176T43.1835
74.93765866,766.8447266,0.776382054,0.502115342,M74.937659T766.8447_1
74.95294114,765.7660217,0.652691682,0.770713867,M74.952941T765.766
75.02300143,517.0114136,0.937847787,-0.150406107,M75.023001T517.0114_1
75.0298681,196.6038208,0.547952856,-0.97386413,M75.029868T196.6038
75.04419524,725.6845703,0.615396879,-0.843601414,M75.044195T725.6846
75.94542704,766.8030396,0.638822636,0.797532832,M75.945427T766.803
76.03945562,43.83259964,0.389412003,-1.304083114,M76.039456T43.8326
76.93308885,766.4123535,0.133980302,2.090182397,M76.933089T766.4124_1
76.95330594,765.9674683,0.966885623,0.075731271,M76.953306T765.9675_2
77.0385141,199.4287643,0.915486669,-0.208394625,M77.038514T199.4288
77.03827525,162.3671875,0.08875124,2.323380318,M77.038275T162.3672
77.03846555,80.73757172,0.474344889,1.121042804,M77.038466T80.7376
77.94095261,766.8118896,0.438919185,1.195842896,M77.940953T766.8119
78.04631428,162.3338165,0.062718479,2.508867312,M78.046314T162.3338
78.06069376,651.8736877,0.313666585,-1.492891269,M78.060694T651.8737_2
78.17322167,676.5778809,0.066606705,-2.475901272,M78.173222T676.5779_2
78.28441045,676.5802307,0.086089919,-2.339967496,M78.28441T676.5802_4
78.39618211,676.592041,0.234184645,-1.733163226,M78.396182T676.592_5
78.96703281,216.5781631,0.000596693,-4.464901047,M78.967033T216.5782
79.05418895,162.4102898,0.038788935,2.754872465,M79.054189T162.4103
79.05169992,219.147583,0.993568405,-0.019444339,M79.0517T219.1476_1
79.55908661,490.4768372,0.109519201,2.208508157,M79.559087T490.4768_1
79.68449557,490.4768372,0.001442691,4.126745697,M79.684496T490.4768_2
79.80999278,490.4742279,0.001089517,4.226419059,M79.809993T490.4742_3
80.28138308,676.0205688,0.546634966,-0.975908815,M80.281383T676.0206_1
80.33724933,676.0202942,0.758280705,-0.541367459,M80.337249T676.0203_2
80.6156591,676.0072021,0.303719141,-1.521644495,M80.615659T676.0072_1
80.72726008,676.0168457,0.653913328,-0.767842195,M80.72726T676.0168_2
80.92827479,40.99350166,0.948057139,0.121802916,M80.928275T40.9935_1
80.9465771,41.01329231,0.732655267,-0.599542794,M80.946577T41.0133_2
80.96302485,216.5761261,0.00070881,-4.398675106,M80.963025T216.5761
