"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1-pyrroline","1-Pyrroline","HMDB0012497","79803","19092","C15668",NA,"C1CC=NC1","1"
"Acrylamide","Acrylamide","HMDB0004296","6579","28619","C01659",NA,"NC(=O)C=C","1"
"Octanoic acid","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(O)=O","1"
"Aminoacetone$beta-Aminopropion aldehyde","NA","NA","NA","NA","NA","NA","NA","0"
"L-Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"(R)-Lactaldehyde","D-Lactaldehyde","HMDB0006458","439350","17167","C00937",NA,"C[C@@H](O)C=O","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"D-Lactate$3-Hydroxypropanoate","NA","NA","NA","NA","NA","NA","NA","0"
"cyanosulfurous acid anion","Cyanosulfurous acid anion","HMDB0012916",NA,NA,NA,NA,"O[S](O)C#N","1"
"Sulfate","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"4-Maleylacetoacetate$4-Fumarylacetoacetate","NA","NA","NA","NA","NA","NA","NA","0"
"4-Methylpentanal","4-Methylpentanal","HMDB0001318","129","17998","C02373","6155","CC(C)CCC=O","1"
"(S)-2-Aminobutanoate","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
"L-Serine$D-Serine","NA","NA","NA","NA","NA","NA","NA","0"
"2-Hydroxyiminostilbene","2-Hydroxyiminostilbene","HMDB0060652","13103864","80599","C16604",NA,"OC1=CC=C2NC3=CC=CC=C3C=CC2=C1","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"trans-1,2-Dihydrobenzene-1,2-diol","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","10702","C04221","6046","O[C@@H]1C=CC=C[C@H]1O","1"
"Deoxycytidine","Deoxycytidine","HMDB0000014","13711","15698","C00881","3367","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"acetamidopropanal$D-Proline$L-Proline","NA","NA","NA","NA","NA","NA","NA","0"
"Chloroacetic acid","Chloroacetic acid","HMDB0031331","300","27869","C06755",NA,"OC(=O)CCl","1"
"Glycine betaine$5-Aminopentanoate","NA","NA","NA","NA","NA","NA","NA","0"
"L-Allo-threonine$L-Threonine","NA","NA","NA","NA","NA","NA","NA","0"
"Phenylacetaldehyde","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"Benzoate","benzoate","HMDB0304270","242","16150",NA,NA,"[O-]C(=O)C1=CC=CC=C1","1"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"2-Hydroxybutyrate$(R)-3-Hydroxybutanoate","NA","NA","NA","NA","NA","NA","NA","0"
"Thymine$Imidazole-4-acetate","NA","NA","NA","NA","NA","NA","NA","0"
"5,6-Dihydrothymine","5,6-dihydrothymine","HMDB0304210",NA,"27468","C00906",NA,"CC1CNC(=O)NC1=O","1"
"5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate","NA","NA","NA","NA","NA","NA","NA","0"
"N-acetyl-L-alanine","N-Acetyl-L-alanine","HMDB0000766","88064","40992",NA,"5733","C[C@H](NC(C)=O)C(O)=O","1"
"Tetrahydrobiopterin-4a-carbinolamine$Tetrahydrobiopterin-4a-carbinolamine","NA","NA","NA","NA","NA","NA","NA","0"
"4-Methyl-2-oxopentanoate$Adipate semialdehyde","NA","NA","NA","NA","NA","NA","NA","0"
"L-Malate","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"anhydroretinol","anhydroretinol","HMDB0062447","5287678",NA,NA,NA,"[H]/C(=C(/[H])\C(\C)=C(/[H])\C(\[H])=C1\C(C)=CCCC1(C)C)/C(/[H])=C(\C)C=C","1"
"Thiosulfate","Thiosulfate","HMDB0000257","1085","5587","C00320","5260","OS(S)(=O)=O","1"
"2-Phenylacetamide","2-Phenylacetamide","HMDB0010715","7680","16562","C02505",NA,"NC(=O)CC1=CC=CC=C1","1"
"Phenylacetic acid","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"$(-)-Limonene","NA","NA","NA","NA","NA","NA","NA","0"
"Gentisate aldehyde$4-Hydroxybenzoate","NA","NA","NA","NA","NA","NA","NA","0"
"Acetyl phosphate","Acetylphosphate","HMDB0001494","186","15350","C00227","6278","CC(=O)OP(O)(O)=O","1"
"Ethanolamine phosphate","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"2-methylglutaconic acid","(E)-2-Methylglutaconic acid","HMDB0002266","6368126",NA,NA,"6584","C\C(=C/CC(O)=O)C(O)=O","1"
"3-Dehydroxycarnitine","4-Trimethylammoniobutanoic acid","HMDB0001161","725","16244","C01181","6043","C[N+](C)(C)CCCC([O-])=O","1"
"nan","N-Acetylneuraminic acid","HMDB0000230","445063","45744","C19910","3321","[H][C@]1(O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO","1"
"(S)-2-Aceto-2-hydroxybutanoate","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","27681","C06006",NA,"CC[C@](O)(C(C)=O)C(O)=O","1"
"L-Glutamine$3-Ureidoisobutyrate$D-Glutamine","NA","NA","NA","NA","NA","NA","NA","0"
"(R)-Mevalonate","Mevalonic acid","HMDB0000227","439230","17710","C00418","127","C[C@@](O)(CCO)CC(O)=O","1"
"4-Coumaryl alcohol","4-Coumaryl alcohol","HMDB0003654","5280535","64555","C02646","6971","OC\C=C\C1=CC=C(O)C=C1","1"
"5-FU","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"3,4-Dihydroxyphenylacetaldehyde","3,4-Dihydroxyphenylacetaldehyde","HMDB0003791","119219","27978","C04043",NA,"OC1=C(O)C=C(CC=O)C=C1","1"
"Xanthosine","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"N-Carbamoyl-beta-alanine$L-Asparagine","NA","NA","NA","NA","NA","NA","NA","0"
"L-Histidine","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Tetrahydropteridine","Tetrahydropteridine","HMDB0001216","156","28889","C05650","6086","C1CNC2=C(N1)C=NC=N2","1"
