pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Limonene and pinene degradation	2	3	0.00823460213427443	E106,E105	C06078/C00521/C06099,C06078/C00521/C06099	/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene$/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene
Purine metabolism	3	9	0.015881018401814974	E215,E216,E210	C00217/C00025/C05938,C04751,C00366	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate$Urate
Histidine metabolism	2	7	0.059658852197294346	E215,E157	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Pyrimidine metabolism	3	14	0.06453239223594656	E215,E426,E530	C00217/C00025/C05938,,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	2	0.07075035711284766	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aminosugars metabolism	1	2	0.07075035711284766	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycerophospholipid metabolism	3	15	0.07629610957062431	E118,E170,E417	,,	$$
Linoleate metabolism	2	9	0.09587429627762373	E455,E414	,	$
Beta-Alanine metabolism	2	9	0.09587429627762373	E215,E157	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Nitrogen metabolism	1	3	0.1078060667170826	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
C21-steroid hormone biosynthesis and metabolism	2	10	0.10973867742206538	E436,E553	,	$
Glycosphingolipid metabolism	2	11	0.1257037223762709	E118,E417	,	$
Electron transport chain	1	4	0.13998823628266532	E426		
Vitamin B9 (folate) metabolism	1	4	0.13998823628266532	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Fatty acid oxidation	1	4	0.13998823628266532	E426		
Xenobiotics metabolism	1	4	0.13998823628266532	E128		
Methionine and cysteine metabolism	2	12	0.14528190908327032	E215,E195	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Leukotriene metabolism	2	13	0.1625073523233342	E445,E483	,	$
Putative anti-Inflammatory metabolites formation from EPA	1	5	0.1679690782287203	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Androgen and estrogen biosynthesis and metabolism	1	5	0.1679690782287203	E553		
Glutathione Metabolism	1	5	0.1679690782287203	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glutamate metabolism	1	5	0.1679690782287203	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
De novo fatty acid biosynthesis	1	6	0.1907402739265608	E403		
Arginine and Proline Metabolism	1	6	0.1907402739265608	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Ubiquinone Biosynthesis	1	6	0.1907402739265608	E426		
Drug metabolism - cytochrome P450	1	7	0.21309133686244852	E140		
Alanine and Aspartate Metabolism	1	7	0.21309133686244852	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Arachidonic acid metabolism	1	7	0.21309133686244852	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Lysine metabolism	1	7	0.21309133686244852	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Valine, leucine and isoleucine degradation	1	8	0.23182925804554239	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
TCA cycle	1	8	0.23182925804554239	E426		
Prostaglandin formation from arachidonate	1	9	0.24569363918998405	E531		
Urea cycle/amino group metabolism	1	10	0.25552474581967904	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Butanoate metabolism	1	11	0.26678430384001345	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aspartate and asparagine metabolism	1	15	0.2877069153852617	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tryptophan metabolism	1	17	0.2926644819763045	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycine, serine, alanine and threonine metabolism	1	18	0.2941769599193345	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tyrosine metabolism	1	20	0.2966977564910512	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Vitamin D3 (cholecalciferol) metabolism	0	3	0.2994706327199395			
Hyaluronan Metabolism	0	0	0.2994706327199395			
N-Glycan biosynthesis	0	4	0.2994706327199395			
Glycolysis and Gluconeogenesis	0	5	0.2994706327199395			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.2994706327199395			
R Group Synthesis	0	0	0.2994706327199395			
C5-Branched dibasic acid metabolism	0	0	0.2994706327199395			
Pyruvate Metabolism	0	4	0.2994706327199395			
Sialic acid metabolism	0	4	0.2994706327199395			
Chondroitin sulfate degradation	0	1	0.2994706327199395			
Di-unsaturated fatty acid beta-oxidation	0	0	0.2994706327199395			
Hexose phosphorylation	0	4	0.2994706327199395			
Vitamin B2 (riboflavin) metabolism	0	0	0.2994706327199395			
Squalene and cholesterol biosynthesis	0	2	0.2994706327199395			
Galactose metabolism	0	3	0.2994706327199395			
Keratan sulfate degradation	0	2	0.2994706327199395			
Glycerolipid metabolism	0	0	0.2994706327199395			
Carnitine shuttle	0	5	0.2994706327199395			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.2994706327199395			
Alkaloid biosynthesis II	0	1	0.2994706327199395			
Vitamin B1 (thiamin) metabolism	0	3	0.2994706327199395			
Glycosphingolipid biosynthesis - globoseries	0	2	0.2994706327199395			
Vitamin B5 - CoA biosynthesis from pantothenate	0	1	0.2994706327199395			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.2994706327199395			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.2994706327199395			
Bile acid biosynthesis	0	10	0.2994706327199395			
Parathio degradation	0	1	0.2994706327199395			
Propanoate metabolism	0	4	0.2994706327199395			
Blood Group Biosynthesis	0	0	0.2994706327199395			
Vitamin H (biotin) metabolism	0	1	0.2994706327199395			
Biopterin metabolism	0	2	0.2994706327199395			
Vitamin E metabolism	0	6	0.2994706327199395			
Caffeine metabolism	0	2	0.2994706327199395			
Lipoate metabolism	0	1	0.2994706327199395			
Heparan sulfate biosynthesis	0	0	0.2994706327199395			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.2994706327199395			
Vitamin A (retinol) metabolism	0	1	0.2994706327199395			
Fatty Acid Metabolism	0	1	0.2994706327199395			
Glycosaminoglycan degradation	0	0	0.2994706327199395			
Fructose and mannose metabolism	0	5	0.2994706327199395			
ROS Detoxification	0	0	0.2994706327199395			
Saturated fatty acids beta-oxidation	0	0	0.2994706327199395			
CoA Catabolism	0	1	0.2994706327199395			
Omega-3 fatty acid metabolism	0	1	0.2994706327199395			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.2994706327199395			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.2994706327199395			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	4	0.2994706327199395			
Geraniol degradation	0	0	0.2994706327199395			
D4&E4-neuroprostanes formation	0	3	0.2994706327199395			
Vitamin D	0	1	0.2994706327199395			
Dynorphin metabolism	0	0	0.2994706327199395			
Heparan sulfate degradation	0	1	0.2994706327199395			
Fatty acid oxidation, peroxisome	0	1	0.2994706327199395			
Polyunsaturated fatty acid biosynthesis	0	0	0.2994706327199395			
Keratan sulfate biosynthesis	0	0	0.2994706327199395			
3-Chloroacrylic acid degradation	0	0	0.2994706327199395			
Sphingolipid metabolism	0	1	0.2994706327199395			
O-Glycan biosynthesis	0	0	0.2994706327199395			
Proteoglycan biosynthesis	0	0	0.2994706327199395			
Vitamin K metabolism	0	0	0.2994706327199395			
Porphyrin metabolism	0	2	0.2994706327199395			
Phosphatidylinositol phosphate metabolism	0	3	0.2994706327199395			
Benzoate degradation via CoA ligation	0	0	0.2994706327199395			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.2994706327199395			
Vitamin B6 (pyridoxine) metabolism	0	3	0.2994706327199395			
Pentose and Glucuronate Interconversions	0	0	0.2994706327199395			
Atrazine degradation	0	0	0.2994706327199395			
N-Glycan Degradation	0	3	0.2994706327199395			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.2994706327199395			
Fatty acid activation	0	4	0.2994706327199395			
Carbon fixation	0	0	0.2994706327199395			
Nucleotide Sugar Metabolism	0	0	0.2994706327199395			
1- and 2-Methylnaphthalene degradation	0	0	0.2994706327199395			
Drug metabolism - other enzymes	0	2	0.2994706327199395			
Prostaglandin formation from dihomo gama-linoleic acid	0	2	0.2994706327199395			
Starch and Sucrose Metabolism	0	3	0.2994706327199395			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.2994706327199395			
Omega-6 fatty acid metabolism	0	1	0.2994706327199395			
Phytanic acid peroxisomal oxidation	0	1	0.2994706327199395			
Pentose phosphate pathway	0	2	0.2994706327199395			
Selenoamino acid metabolism	0	6	0.2994706327199395			
