SOURCE	TARGET	ENZYMES
C00025	C00415	6.3.2.17;2.1.1.45;6.3.2.12
C00025	C00014	;6.3.5.2;6.3.5.5;6.3.4.2;3.5.1.38;6.3.1.2;1.4.1.3;1.4.1.2;1.4.1.4;3.5.1.2
C00025	C01252	;2.6.1.7
C00025	C00334	4.1.1.19;4.1.1.15;2.6.1.19
C00025	C01879	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00025	C01005	2.6.1.52
C00025	C00655	6.3.5.2
C00025	C00026	;2.3.1.61;2.6.1.9;2.6.1.5;2.6.1.6;2.6.1.7;2.6.1.1;2.6.1.2;2.6.1.3;2.6.1.52;2.6.1.-;1.4.1.3;1.4.1.2;1.4.1.4;2.6.1.55;2.1.1.45;2.6.1.16;2.4.2.14;6.1.1.17;2.6.1.13;1.1.99.2;2.6.1.23;2.6.1.39;1.14.11.1;2.6.1.19;1.1.1.95;1.2.4.2;1.14.11.18;1.1.99.24;1.14.11.16;2.3.2.2;6.3.5.1;6.3.2.17;6.3.2.12;1.5.1.9;3.4.11.4;3.5.1.38;1.8.1.4;2.7.2.11;6.3.1.2;6.3.2.2;1.14.11.4;2.6.1.40;2.6.1.42;2.1.2.5;2.6.1.65;1.5.1.8;2.6.1.22;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;1.14.11.2;2.3.1.1;3.5.2.9;4.1.1.15;1.14.11.8;1.5.1.7;1.5.1.12;3.5.1.2;3.5.1.3;1.1.1.42;1.1.1.41;4.1.1.19;2.6.1.57
C00025	C00288	;6.3.5.5
C00025	C05527	;2.6.1.1
C00025	C05951	2.3.2.2
C00025	C00082	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C03090	2.4.2.14
C00025	C09332	6.3.2.17
C00025	leuktrE4	2.3.2.2
C00025	C00020	;6.3.5.1;6.3.5.2;6.1.1.17;6.3.5.4
C00025	C00664	2.1.2.5
C00025	C01127	2.6.1.1
C00025	C00063	6.3.4.2
C00025	C01165	;1.5.1.12;2.6.1.13
C00025	C01640	6.1.1.17
C00025	CE7087	2.3.2.2
C00025	C03912	1.5.1.12;
C00025	C00085	2.6.1.16
C00025	C00022	;1.8.1.4;2.3.1.1;2.6.1.2;2.6.1.40;2.3.2.2
C00025	C05167	1.4.1.3;1.4.1.2
C00025	C01717	;2.6.1.7
C00025	CE2095	2.6.1.-
C00025	C00439	2.1.2.5
C00025	C03227	2.6.1.7
C00025	C06112	6.1.1.17
C00025	C01045	2.1.2.5
C00025	C00075	;6.3.4.2
C00025	C00328	2.6.1.7
C00025	C05928	6.3.2.17;6.3.2.12
C00025	C05929	6.3.2.17;6.3.2.12
C00025	C00506	;4.1.1.15;2.6.1.1
C00025	C00079	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C00407	2.6.1.42
C00025	C00064	2.6.1.16;;6.3.5.3;6.3.5.2;6.3.5.5;6.3.5.4;6.3.4.2;2.4.2.14;3.5.1.38;6.3.1.2;3.5.1.2;6.3.5.1
C00025	C02320	2.3.2.2
C00025	C00606	;4.1.1.15;2.6.1.1
C00025	C05548	2.6.1.39;2.6.1.65
C00025	C04640	6.3.5.3
C00025	C00141	2.6.1.6;2.6.1.42
C00025	C04376	6.3.5.3
C00025	C00119	2.4.2.14
C00025	C05729	2.3.2.2
C00025	C00024	;2.3.1.61;2.3.1.1;1.2.4.2;1.8.1.4
C00025	C00921	6.3.2.17;2.1.1.45;6.3.2.12
C00025	C00099	2.6.1.55;4.1.1.15;2.6.1.19
C00025	C01179	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C00025	C02727	2.6.1.39;2.6.1.65
C00025	CE2947	2.6.1.-
C00025	C00144	6.3.5.2
C00025	C01180	2.6.1.5
C00025	C01342	;2.6.1.1;6.3.1.2;1.4.1.2;1.4.1.4;3.5.1.2;3.5.1.3
C00025	C00036	;2.6.1.1;6.3.1.2;1.4.1.2;1.4.1.4;3.5.1.2;3.5.1.3
C00025	C01419	3.4.11.4;2.3.2.2
C00025	C03541	6.3.2.17
C00025	C06054	2.6.1.52
C00025	C00123	2.6.1.6;2.6.1.42
C00025	C00049	3.5.1.38;4.1.1.15;6.3.5.4;2.6.1.1
C00025	C00234	6.3.2.17;6.3.2.12
C00025	leuktrF4	2.3.2.2
C00025	CE7086	2.3.2.2
C00025	C00956	2.6.1.39
C00025	leuktrC4	2.3.2.2
C00025	3spyr	2.6.1.1
C00025	C01602	2.6.1.13
C00025	C03232	2.6.1.52;1.1.1.95
