pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Limonene and pinene degradation	2	3	0.006722124191244433	E101,E100	C06078/C00521/C06099,C06078/C00521/C06099	/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene$/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene
Purine metabolism	3	9	0.015124779430299974	E205,E210,E211	C00366,C00217/C00025/C05938,C04751	Urate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
Histidine metabolism	2	7	0.06083522393076212	E210,E152	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Glycerophospholipid metabolism	3	14	0.06486849844550878	E415,E113,E165	,,	$$
Pyrimidine metabolism	3	14	0.06486849844550878	E210,E424,E528	C00217/C00025/C05938,,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	2	0.0721788085034871	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aminosugars metabolism	1	2	0.0721788085034871	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Linoleate metabolism	2	9	0.09377363246785984	E453,E412	,	$
Beta-Alanine metabolism	2	9	0.09377363246785984	E210,E152	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Vitamin B9 (folate) metabolism	1	3	0.10973867742206538	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Nitrogen metabolism	1	3	0.10973867742206538	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycosphingolipid metabolism	2	10	0.11284765986051593	E415,E113	,	$
C21-steroid hormone biosynthesis and metabolism	2	10	0.11284765986051593	E434,E551	,	$
Methionine and cysteine metabolism	2	11	0.12940089068145533	E210,E190	C00217/C00025/C05938,	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Electron transport chain	1	4	0.14032434249222756	E424		
Fatty acid oxidation	1	4	0.14032434249222756	E424		
Xenobiotics metabolism	1	4	0.14032434249222756	E123		
Leukotriene metabolism	2	13	0.16620452062851862	E481,E443	,	$
Putative anti-Inflammatory metabolites formation from EPA	1	5	0.16914544996218805	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Androgen and estrogen biosynthesis and metabolism	1	5	0.16914544996218805	E551		
Glutathione Metabolism	1	5	0.16914544996218805	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glutamate metabolism	1	5	0.16914544996218805	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
De novo fatty acid biosynthesis	1	6	0.19687421225107135	E401		
Arginine and Proline Metabolism	1	6	0.19687421225107135	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Ubiquinone Biosynthesis	1	6	0.19687421225107135	E424		
Drug metabolism - cytochrome P450	1	7	0.21930930173934962	E135		
Alanine and Aspartate Metabolism	1	7	0.21930930173934962	E210	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
