input_row	EID	str_row_ion	compounds	compound_names	input_row	m/z	retention_time	p_value	statistic	CompoundID_from_user
row1	E1	row1_M+H[1+]	CE1944	1-pyrroline	row1	70.06524299	44.39722633	0.15327567979625992	-2.008317679	M70.065243T44.3972
row14	E4	row14_M+H[1+]	C01659	Acrylamide; 2-Propenamide	row14	72.04416496	582.5190735	0.006766774	3.5254784186596866	M72.044165T582.5191
row33	E5	row33_M+H[1+];row675_M+HCOONa[1+]	C01888;C05665	Aminoacetone$beta-Aminopropion aldehyde	row33	74.06017635	43.18345451	0.7755572	0.5044083012231068	M74.060176T43.1835
row33	E12	row33_M+2H[2+];row736_M+H[1+];row750_M(C13)+H[1+];row978_M+Na[1+]	C00047	L-Lysine	row33	74.06017635	43.18345451	0.7755572	0.5044083012231068	M74.060176T43.1835
row38	E13	row38_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)	row38	75.04419524	725.6845703	0.6153968790285371	-0.843601414	M75.044195T725.6846
row40	E16	row40_M+H[1+]	C00037	Glycine	row40	76.03945562	43.83259964	0.38941200313561114	-1.304083114	M76.039456T43.8326
row174	E17	row174_M+H[1+]	C00213;C00041;C00099;C00133	Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine	row174	90.0551104	43.0787735	0.322564169	-1.470203055	M90.05511T43.0788
row184	E23	row184_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone	row184	91.03913544	772.0026245	0.4715454113958167	-1.12637317	M91.039135T772.0026
row185	E24	row185_M+H[1+]	C00256;C01013;C00186;C00184	D-Lactate$3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid$L-Lactate$Dihydroxyacetone	row185	91.03913873	828.1632385	0.8576200915889209	0.33141272260055615	M91.039139T828.1632
row197	E28	row197_M+H[1+]	CE1950	cyanosulfurous acid anion	row197	91.98019831	38.20912552	0.6950580931478273	0.6749571680825527	M91.980198T38.2091
