CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C00170	5-Methylthioadenosine	-6.76	row1881	E805
tmndnccrn	Timnodonyl carnitine	5.21	row7314	E934
C00256	D-Lactate	35.62	row204	E93
C00319	Sphingosine	-5.48	row1798	E762
C00362	dGMP	7.89	row7591	E845
C00780	Serotonin	14.27	row6211	E1137
CE5586	dehydrospermidine	6.45	row591	E332
C00542	Cystathionine	-5.44	row5780	E670
C00062	L-Arginine	-23.32	row970	E522
C00127	Oxidized glutathione	-19.16	row1831	E783
CE5586	dehydrospermidine	6.22	row7223	E332
C00962	beta-D-Galactose	-7.06	row1239	E545
C00795	D-Tagatose; lyxo-Hexulose	-7.06	row1239	E545
C00491	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid	5.21	row5046	E702
odecrn	octadecenoyl carnitine	9.38	row7896	E1318
C00645	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose	-6.72	row7261	E660
vacccrn	Vaccenyl carnitine	9.38	row7896	E1318
C00079	L-Phenylalanine	-5.82	row862	E468
C00051	Reduced glutathione	-12.64	row1909	E391
C01074	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc	-6.72	row7261	E660
C05844	5-L-Glutamyl-taurine	24.14	row1564	E272
C02934	3-Dehydrosphinganine	-5.48	row1798	E762
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	8.04	row5017	E342
C02712	N-Acetylmethionine	-10.96	row5035	E1013
C00262	Hypoxanthine	24.79	row4993	E251
C00020	AMP	7.89	row7591	E845
C00643	5-Hydroxy-L-tryptophan	-6.72	row7261	E658
C00792	D-Arginine; D-2-Amino-5-guanidinovaleric acid	-23.32	row970	E522
C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline	42.97	row7236	E517
C00147	Adenine	12.44	row5498	E247
C02220	2-Aminomuconate	12.44	row5498	E427
C00025	L-Glutamate	8.04	row5017	E342
C05648	5-Hydroxy-N-formylkynurenine; 5-Hydroxy-N-formyl-L-kynurenine	-6.25	row1654	E734
CE7072	13'-carboxy-gama-tocotrienol	7.59	row2289	E896
elaidcrn	Elaidic carnitine	9.38	row7896	E1318
C00186	L-Lactate	35.62	row204	E93
