pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin B9 (folate) metabolism	4	5	0.00042013276195277706	E342,E665,E532,E826	C00217/C00025/C05938,C00504,C01045/C01042,C00921	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Folate$N-Formyl-L-glutamate/N-Acetyl-L-aspartate$Dihydropteroate; 7,8-Dihydropteroate
Carnitine shuttle	5	11	0.005209646248214436	E1152,E1247,E1317,E1318,E934	C02990,ttdcrn,hdd2crn/hdcecrn,elaidcrn/vacccrn/odecrn,tmndnccrn	L-Palmitoylcarnitine$tetradecanoyl carnitine$trans-Hexadec-2-enoyl carnitine/Hexadecenoyl carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine$Timnodonyl carnitine
Aminosugars metabolism	5	13	0.01226787664902109	E342,E480,E660,E210,E800	C00217/C00025/C05938,C00074,C01074/C00645/C00140,C00352/C12214,C00128	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Phosphoenolpyruvate$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$D-Glucosamine 6-phosphate/Aminofructose 6-phosphate; Amino-D-fructose 6-phosphate$CMP-N-acetylneuraminate
Ascorbate (Vitamin C) and Aldarate Metabolism	4	9	0.012603982858583312	E1271,E391,E783,E251	C00725/C04593,C00051,C00127,C01620/C00262	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid$Reduced glutathione$Oxidized glutathione$/Hypoxanthine
Methionine and cysteine metabolism	10	37	0.012603982858583312	E342,E702,E805,E272,E845,E391,E1013,E672,E783,E670	C00217/C00025/C05938,C00491,C00170,C05844,C00020/C00362,C00051,C02712,C02291/C00542,C00127,C02291/C00542	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$5-Methylthioadenosine$5-L-Glutamyl-taurine$AMP/dGMP$Reduced glutathione$N-Acetylmethionine$L-Cystathionine/Cystathionine$Oxidized glutathione$L-Cystathionine/Cystathionine
Glycosphingolipid metabolism	5	15	0.024283673640870515	E771,E1297,E762,E545,E800	C00836,C12144,C02934/C00319,C00031/C00221/C02336/C00267/C00962/C00795/C00137/C00984/C00159,C00128	Sphinganine$Phytosphingosine; 4-D-Hydroxysphinganine$3-Dehydrosphinganine/Sphingosine$D-Glucose/beta-D-Glucose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/beta-D-Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/alpha-D-Galactose/D-Mannose$CMP-N-acetylneuraminate
Vitamin E metabolism	2	3	0.025712125031509957	E896,E845	CE7072,C00020/C00362	13'-carboxy-gama-tocotrienol$AMP/dGMP
Propanoate metabolism	3	7	0.030333585412990506	E1271,E93,E845	C00725/C04593,C00256/C01013/C00186/C00184,C00020/C00362	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid$D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$AMP/dGMP
Alanine and Aspartate Metabolism	5	16	0.03075371817494328	E342,E517,E845,E522,E532	C00217/C00025/C05938,C00327,C00020/C00362,C00062/C00792,C01045/C01042	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$AMP/dGMP$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$N-Formyl-L-glutamate/N-Acetyl-L-aspartate
Purine metabolism	8	32	0.033442567851441056	E342,E247,E251,E480,E845,E1326,E246,E849	C00217/C00025/C05938,C00147,C01620/C00262,C00074,C00020/C00362,C00294,C00147,C00360	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Adenine$/Hypoxanthine$Phosphoenolpyruvate$AMP/dGMP$Inosine$Adenine$dAMP
