EID	massfeature_rows	str_row_ion	compounds	compound_names
E1	row1;row1754;row18	row1_M+H[1+];row1754_M+HCOONa[1+];row18_M(C13)+H[1+]	CE1944	1-pyrroline
E2	row13;row1791;row1792	row13_M+2H[2+];row1791_M+H[1+];row1792_M+H[1+]	C07294	Methylarsonate; Methylarsonic acid
E6	row29	row29_M+H[1+]	C01659	Acrylamide; 2-Propenamide
E7	row1826;row70	row1826_M+HCOONa[1+];row70_M+H[1+]	C01888;C05665	Aminoacetone$beta-Aminopropion aldehyde
E12	row1922;row56	row1922_M+H[1+];row56_M+2H[2+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E24	row1987;row2018;row2604;row70	row1987_M+H[1+];row2018_M(C13)+H[1+];row2604_M+Na[1+];row70_M+2H[2+]	C00047	L-Lysine
E25	row2606	row2606_M+Na[1+]	C00047	L-Lysine
E26	row109	row109_M+H[1+]	C00037	Glycine
E28	row110	row110_M+H[1+]	C00037	Glycine
E30	row99	row99_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E31	row98	row98_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E32	row90	row90_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E33	row87	row87_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E34	row86;row88;row89;row91	row86_M+H[1+];row88_M+H[1+];row89_M+H[1+];row91_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E35	row83	row83_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E36	row85	row85_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E37	row95;row97	row95_M+H[1+];row97_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E38	row92	row92_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E39	row84;row93;row94;row96	row84_M+H[1+];row93_M+H[1+];row94_M+H[1+];row96_M+H[1+]	C00937;C00424;C05235;C00163	(R)-Lactaldehyde; D-Lactaldehyde; D-2-Hydroxypropionaldehyde$(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde$Hydroxyacetone; Acetol; 1-Hydroxy-2-propanone; 2-Ketopropyl alcohol; Acetone alcohol; Pyruvinalcohol; Pyruvic alcohol; Methylketol$Propionate (n-C3:0)
E40	row2646	row2646_M+Na[1+]	C00418	(R)-Mevalonate
E41	row2104;row2645	row2104_M(C13)+H[1+];row2645_M+Na[1+]	C00418	(R)-Mevalonate
E52	row125	row125_M+H[1+]	C01678	Cysteamine; 2-Aminoethanethiol; beta-Aminoethanethiol; beta-Mercaptoethylamine; Mercaptamine; Thioethanolamine
E57	row184	row184_M+Na[1+]	C00086	Urea
E58	row183	row183_M+Na[1+]	C00086	Urea
E60	row2609;row4370	row2609_M+H[1+];row4370_M+HCOONa[1+]	CE2061	
E61	row2610	row2610_M+H[1+]	CE2061	
E67	row2690	row2690_M+H[1+]	CE2576	
E68	row2691;row2724	row2691_M+H[1+];row2724_M(C13)+H[1+]	CE2576	
E71	row2224;row362;row809	row2224_M+HCOONa[1+];row362_M+H[1+];row809_M+Na[1+]	C02218	2-Aminoacrylate; Dehydroalanine
E74	row3335	row3335_M+Na[1+]	C00439	N-Formimidoyl-L-glutamate
E75	row2751;row2789	row2751_M+H[1+];row2789_M(C13)+H[1+]	C00062;C00792	L-Arginine$D-Arginine; D-2-Amino-5-guanidinovaleric acid
E79	row3332	row3332_M+Na[1+]	C00850	Aryl sulfate
E80	row2738	row2738_M+H[1+]	C00850	Aryl sulfate
E82	row426;row476	row426_M+H[1+];row476_M(C13)+H[1+]	C00213;C00041;C00099;C00133	Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine
E85	row2254;row4058	row2254_M+H[1+];row4058_M+HCOONa[1+]	CE2006;CE6506	$
