pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
De novo fatty acid biosynthesis	10	36	0.001596504495420553	E707,E581,E545,E1453,E580,E1454,E1367,E1550,E697,E573	C06429,C00712,C06426/C06427,C01595,C00712,C01595,C00249,CE5932/C02075/C06428/CE5013,C03242,C00219	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid$(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate$arachidonic acid
Fatty acid activation	9	34	0.00403327451474666	E1450,E545,E1453,E1667,E1454,E1367,E1767,E1681,E697	vacc/ocdcea,C06426/C06427,C01595,clpnd/dcsptn1,C01595,C00249,tetpent6/CE4839/tetpent3,adrn,C03242	vaccenic acid/octadecenoate (n-C18:1)$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$clupanodonic acid/docosa-4,7,10,13,16-pentaenoic acid (n-6)$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$tetracosapentaenoic acid, n-6/6,9,12,15,18-all-cis-tetracosapentaenoate/tetracosapentaenoic acid, n-3$adrenic acid$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate
Hyaluronan Metabolism	2	2	0.007394336610368877	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Tryptophan metabolism	10	44	0.007646416267540543	E1113,E1165,E772,E801,E649,E960,E961,E861,E1782,E1072	C00328/C05647,C00643,CE3087,C02693,C00637,C05635/C16596,C05635/C16596,C05638,CE3140,C05660	L-Kynurenine/Formyl-5-hydroxykynurenamine$5-Hydroxy-L-tryptophan$beta-carboline$Indole-3-acetamide$Indole-3-acetaldehyde$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxykynurenamine$$5-Methoxyindoleacetate
Linoleate metabolism	9	38	0.007982522477102764	E1722,E1661,E545,E1453,E737,E1454,E86,E624,E1526	CE6504,CE5922,C06426/C06427,C01595,CE5528,C01595,CE2006/CE6506,C04717/C14827,C14762/C14826/C14825	$$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$$linoleic acid (all cis C18:2) n-6$/$(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid; (9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoate; 13(S)-HPODE; 13S-Hydroperoxy-9Z,11E-octadecadienoic acid/9(S)-HPODE; 9(S)-HPOD; (10E,12Z)-(9S)-9-Hydroperoxyoctadeca-10,12-dienoic acid$13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid/12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid/9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid
Di-unsaturated fatty acid beta-oxidation	2	3	0.018317788421141082	E1454,E1453	C01595,C01595	linoleic acid (all cis C18:2) n-6$linoleic acid (all cis C18:2) n-6
Omega-3 fatty acid metabolism	3	8	0.024451726745651627	E407,E545,E406	C16300,C06426/C06427,C16300	Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$Stearidonic acid; 6,9,12,15-Octadecatetraenoic acid; (6Z,9Z,12Z,15Z)-Octadecatetraenoic acid
Heparan sulfate degradation	2	4	0.03041761196538106	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Omega-6 fatty acid metabolism	2	4	0.03041761196538106	E573,E1767	C00219,tetpent6/CE4839/tetpent3	arachidonic acid$tetracosapentaenoic acid, n-6/6,9,12,15,18-all-cis-tetracosapentaenoate/tetracosapentaenoic acid, n-3
Fatty Acid Metabolism	5	21	0.030837744727333836	E1450,E1453,E1454,E1367,E1200	vacc/ocdcea,C01595,C01595,C00249,ttdcea	vaccenic acid/octadecenoate (n-C18:1)$linoleic acid (all cis C18:2) n-6$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$tetradecenoate (n-C14:1)
