,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_KEGG,ui_KEGG,gt_index,ui_index,eid
27,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,203.605094909668,241.02,37.41490509033201,4.616661482705084e-05,M123.044107T203.6051,C00633,C00633,199,396,E269
61,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,203.955535888672,440.21999999999997,236.26446411132798,0.0001549642713602,M137.05979T203.9555,C07086,C07086,419,550,E387
80,,Coumarin,503.791687011719,207.54,296.251687011719,0.0002698610110468,M147.042969T503.7917,C05851,C05851,152,636,E477
97,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,516.953979492188,240.71999999999997,276.233979492188,0.0006406907247874,M152.030988T516.954,C01879,C01879,197,704,E318
122,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.525726318359,317.76,26.234273681641014,6.498414212922305e-05,M160.07578T291.5257,C00637,C00637,303,815,E649
145,Indole-3-acetamide,Indole-3-acetamide,125.176258087158,123.60000000000001,1.5762580871579956,0.0004554474109491,M175.087302T125.1763,C02693,C02693,82,942,E801
165,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.9310512542725,40.92,0.9889487457275052,5.8692018646200455e-05,M189.160141T39.9311,C03793,C03793,4,1065,E940
167,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.8824882507324,40.92,1.0375117492676011,4.616661482705084e-05,M190.163557T39.8825,C03793,C03793,4,1067,E940
168,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.142196655273,150.0,0.14219665527301117,0.0005492419491732,M191.058035T150.1422_1,C05635,C05635,98,1086,E960
169,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.305313110352,150.0,169.30531311035202,4.616661482705084e-05,M192.065855T319.3053_2,C05635,C05635,98,1094,E961
170,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.101318359375,150.0,0.101318359375,0.0001052925664625,M192.065825T150.1013_2,C05635,C05635,98,1096,E960
173,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.108978271484,150.0,0.10897827148400552,0.0001919479512516,M193.069044T150.109,C05635,C05635,98,1106,E960
175,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.299987792969,150.0,169.29998779296898,9.600576718505488e-05,M193.069272T319.3,C05635,C05635,98,1110,E961
176,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,86.9109954833984,150.0,63.089004516601605,1.1184601786794775e-05,M193.068543T86.911,C05635,C05635,98,1112,E960
178,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,586.134521484375,532.3199999999999,53.814521484375064,0.0002110581428732,M197.153916T586.1345,C04483,C04483,476,1127,E1032
187,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,204.09765625,440.21999999999997,236.12234374999997,4.9699019404101216e-05,M205.047538T204.0977,C07086,C07086,419,1186,E387
192,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.506881713867,301.26,9.753118286132974,4.616661482705084e-05,M206.081449T291.5069_3,C05660,C05660,279,1200,E1072
199,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.516845703125,301.26,9.743154296874991,4.616661482705084e-05,M207.083957T291.5168,C05660,C05660,279,1218,E1072
200,L-Kynurenine$Formyl-5-hydroxykynurenamine,L-kynurenine,150.116195678711,151.2,1.0838043212889943,0.0004124292420933,M209.092336T150.1162_4,C00328,C00328,101,1220,E1113
201,L-Kynurenine$Formyl-5-hydroxykynurenamine,L-kynurenine,150.064407348633,151.2,1.1355926513669772,0.0001273341267813,M210.095655T150.0644_2,C00328,C00328,101,1222,E1113
212,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,125.007293701172,117.36,7.6472937011720035,9.085060724776078e-05,M221.092297T125.0073,C00643,C00643,67,1271,E1165
213,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,124.808631896973,117.36,7.448631896972998,5.683903771134942e-05,M222.095609T124.8086,C00643,C00643,67,1274,E1165
216,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.522705078125,317.76,26.23729492187499,5.430860626366522e-05,M228.063301T291.5227,C00637,C00637,303,1293,E649
217,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.522705078125,301.26,9.737294921874991,5.430860626366522e-05,M228.063301T291.5227,C05660,C05660,279,1294,E1072
