SOURCE	TARGET	ENZYMES
C14771	C14768	3.3.2.9;1.14.14.1;3.3.2.10
C14771	C00219	3.1.2.2;1.14.14.1
C14771	C14770	2.3.1.16;1.3.3.6;1.14.14.1;3.3.2.10;1.1.1.35;4.2.1.17;3.1.2.2;2.3.1.154;6.2.1.-;3.3.2.9;5.1.99.4
C14771	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14827	C01595	1.13.11.34
C02218	C00065	;4.3.1.17
C01530	C06429	3.1.2.2
C01530	C03242	3.1.2.2;6.2.1.3
C01530	C00219	3.1.2.2;6.2.1.3
C01530	C00249	3.1.2.14;3.1.2.2;6.2.1.3
C01530	C06426	3.1.2.2;6.2.1.3
C01530	C00712	3.1.2.14;3.1.2.2
C01530	C06428	3.1.2.2
C01530	C06427	3.1.2.2;6.2.1.3
C01530	C01595	3.1.2.14;3.1.2.2;6.2.1.3
C01120	C00319	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C01120	C00517	4.1.2.27
C01120	C00346	;4.1.2.27
C01120	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00109	C00065	4.3.1.19
C00109	C00025	2.6.1.2
C06426	C06428	3.1.2.2
C06426	C06427	3.1.2.2;6.2.1.3
C06426	C03242	3.1.2.2;6.2.1.3
C06426	C00712	3.1.2.2
C06426	C01595	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C00219	3.1.2.2;6.2.1.3
C06426	C00249	3.1.2.2;6.2.1.3
C06426	C06429	3.1.2.2
C04751	C00049	6.3.2.6
C00049	C01180	1.4.3.2
C00049	C05840	1.4.1.21
C00049	C00025	3.5.1.38;4.1.1.15;6.3.5.4;2.6.1.1
C00049	C01179	1.4.3.2;2.6.1.1
C00049	C00152	3.5.1.15;3.5.1.38;3.5.1.1;6.3.5.4
C00049	C00166	1.4.3.2;2.6.1.1
CE2567	C05966	1.13.11.31;1.13.11.34
C14748	C00219	1.14.15.3
C02934	C00065	2.3.1.50
C02934	C00836	1.1.1.102
CE5925	C00219	
C06428	C03242	3.1.2.2
C06428	C00249	3.1.2.2
C06428	C00712	3.1.2.2
C06428	C06429	3.1.2.2
C06428	C01595	3.1.2.2
C06428	C00219	3.1.2.2
C06428	C06427	3.1.2.2
C02727	C00025	2.6.1.39;2.6.1.65
C00449	C00025	1.5.1.8;1.5.1.9;1.5.1.7
C05966	C00219	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C05966	C14813	1.14.14.1
C05966	C04742	1.13.11.31;1.13.11.33;1.13.11.34;1.14.14.1;1.11.1.9
C05966	C14781	1.14.14.1
C00319	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
3spyr	C00025	2.6.1.1
C01165	C00025	;1.5.1.12;2.6.1.13
C01879	C00025	;2.3.1.1;2.6.1.1;2.6.1.3;6.3.2.2;3.5.2.9
C00249	C00346	;4.1.2.27
C00249	C01595	;3.1.2.14;3.1.2.2;6.2.1.3
C00249	C00712	;3.1.2.14;3.1.2.2
C00249	C03242	3.1.2.2;6.2.1.3
C00249	C00219	;3.1.2.2;6.2.1.3
C00249	C06427	3.1.2.2;6.2.1.3
C00249	C06429	3.1.2.2
C14768	C14770	3.3.2.9;1.14.14.1;3.3.2.10
C14768	C00219	1.14.14.1
C14768	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C14778	C00219	1.14.14.1
CE5928	C00219	
C01180	C00025	2.6.1.5
C01180	C00166	1.4.3.2;2.6.1.5
C01180	C01179	1.4.3.2;2.6.1.5
CE5535	C00219	
C00065	C00740	3.1.3.3
C01179	C00025	;2.6.1.5;2.6.1.9;2.6.1.57;2.6.1.1
C01179	C05350	5.3.2.1
C01179	C00166	1.4.3.2;5.3.2.1;2.6.1.9;2.6.1.5;2.6.1.1;2.6.1.57;1.13.11.27
C00166	C02763	5.3.2.1
C00166	C00025	2.6.1.57;2.6.1.5;2.6.1.9;2.6.1.1
C03242	C06429	3.1.2.2
C03242	C01595	3.1.2.2;6.2.1.3
C03242	C00219	3.1.2.2;6.2.1.3
C03242	C00712	3.1.2.2
C03242	C06427	3.1.2.2;6.2.1.3
C06427	C06429	3.1.2.2
C06427	C00219	3.1.1.4;3.1.2.2;6.2.1.3
C06427	C16300	1.14.19.-
C06427	C00712	3.1.2.2
C06427	C01595	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C00025	leuktrE4	2.3.2.2
C00025	C00439	2.1.2.5
C00025	C00328	2.6.1.7
C00025	C00232	2.6.1.19
C00025	C06002	2.6.1.22
C00025	C00152	2.3.1.1;3.5.1.38;6.3.5.4
C00025	C00349	2.6.1.22;2.6.1.40
C14825	C01595	1.14.14.1
C14770	C00219	3.1.2.2;1.14.14.1
C14770	C14769	3.3.2.9;1.14.14.1;3.3.2.10
C00346	C00517	4.1.2.27
C01595	C00712	;3.1.2.14;3.1.2.2
C01595	C14826	1.14.14.1
C01595	C00219	;3.1.1.4;1.14.14.1;6.2.1.3;3.1.2.2;1.13.11.33;1.13.11.34
C01595	C06429	3.1.2.2
C01595	C04717	;1.13.11.33;1.13.11.12
C05356	C04805	1.13.11.31;1.13.11.34;1.11.1.9
C05356	C00219	;1.13.11.31;1.13.11.34;1.11.1.9
