pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	7	14	0.003613141752793883	E1907,E1142,E1874,E1769,E1010,E1124,E1222	CE2204,CE2206/CE2203/C17337,C05457/C01673/CE2201/C17336/C17331/C17333/C17332,CE6027,C01802/C00599/C05437/C05439/C01164/C05443,C05455/C01561,CE2202/C17335	25-hydroxyvitamin D3-26,23-lactone$24-oxo-1alpha,25-dihydroxyvitamin D3/25-hydroxyvitamin D3-26,23-lactol/7alpha-Hydroxy-3-oxo-4-cholestenoate$7alpha,12alpha-Dihydroxycholest-4-en-3-one/Calcitriol/23S,25-dihydroxyvitamin D3/7alpha,26-Dihydroxy-4-cholesten-3-one///7alpha,25-Dihydroxy-4-cholesten-3-one$24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3$Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol/Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one/Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol/5alpha-Cholesta-7,24-dien-3beta-ol/Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3/Vitamin D3; Cholecalciferol$7alpha-Hydroxycholest-4-en-3-one/Calcidiol; 25-Hydroxyvitamin D3; Calcifediol; Calcifediol anhydrous$23S,25,26-trihydroxyvitamin D3/
Tryptophan metabolism	14	44	0.008570708343836652	E1113,E1165,E834,E772,E1156,E801,E649,E1782,E565,E960,E961,E861,E495,E1072	C00328/C05647,C00643,CE1918/CE5629,CE3087,C00978,C02693,C00637,CE3140,C00632,C05635/C16596,C05635/C16596,C05638,C00217/C00025/C05938,C05660	L-Kynurenine/Formyl-5-hydroxykynurenamine$5-Hydroxy-L-tryptophan$5-hydroxytryptophol/1,2-dehydrosalsolinol$beta-carboline$N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine$Indole-3-acetamide$Indole-3-acetaldehyde$$3-Hydroxyanthranilate$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$5-Hydroxykynurenamine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$5-Methoxyindoleacetate
De novo fatty acid biosynthesis	12	36	0.009326947315351651	E707,E581,E1473,E545,E1453,E1233,E580,E1454,E1367,E1550,E697,E573	C06429,C00712,C01530,C06426/C06427,C01595,C06424,C00712,C01595,C00249,CE5932/C02075/C06428/CE5013,C03242,C00219	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid$(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$octadecanoate (n-C18:0)$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$tetradecanoate (n-C14:0)$(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$13,14-epoxy-retinol/Retinyl ester; all-trans-Retinyl ester/(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate/$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate$arachidonic acid
Drug metabolism - cytochrome P450	10	28	0.009747080077304428	E1396,E1838,E1653,E170,E1533,E960,E512,E1799,E961,E328	C16660,C16545/C16544/C05011,C07572,C16604,C06174/C05176,C05635/C16596,C16612,C07108,C05635/C16596,C07047/C07888	2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline; EMDP$/alpha-Hydroxytamoxifen/Hydroxytamoxifen; 4-Hydroxytamoxifen$Citalopram$2-Hydroxyiminostilbene$Codeine; (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol/(S)-N-Methylcoclaurine; (S)-1,2,3,4-Tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-2-methyl-7-isoquinolinol$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$Citalopram aldehyde$Tamoxifen$5-Hydroxyindoleacetate/5-Phenyl-1,3-oxazinane-2,4-dione$Ifosfamide/Cyclophosphamide anhydrous
Fatty acid activation	11	34	0.015544912192252751	E1450,E1473,E545,E1453,E1233,E1667,E1454,E1367,E1767,E1681,E697	vacc/ocdcea,C01530,C06426/C06427,C01595,C06424,clpnd/dcsptn1,C01595,C00249,tetpent6/CE4839/tetpent3,adrn,C03242	vaccenic acid/octadecenoate (n-C18:1)$octadecanoate (n-C18:0)$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate$linoleic acid (all cis C18:2) n-6$tetradecanoate (n-C14:0)$clupanodonic acid/docosa-4,7,10,13,16-pentaenoic acid (n-6)$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$tetracosapentaenoic acid, n-6/6,9,12,15,18-all-cis-tetracosapentaenoate/tetracosapentaenoic acid, n-3$adrenic acid$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate
Hyaluronan Metabolism	2	2	0.01856986807831275	E1175,E1174	C01074/C00645/C00140,C01074/C00645/C00140	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine
Arginine and Proline Metabolism	8	25	0.0326023023275355	E1530,E1531,E57,E595,E374,E318,E613,E495	C00170,C00170,C00086,C01165/C01157/C00430/C03440/C01110,C00147,C01879/C04281/C04282,C00049/C00402,C00217/C00025/C05938	5-Methylthioadenosine$5-Methylthioadenosine$Urea$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde/trans-4-Hydroxy-L-proline/5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid/cis-4-Hydroxy-D-proline/5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate$Adenine$5-Oxoproline/L-1-Pyrroline-3-hydroxy-5-carboxylate/1-Pyrroline-4-hydroxy-2-carboxylate$L-Aspartate/D-Aspartate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Fatty Acid Metabolism	7	21	0.03386270061339383	E1450,E1473,E1453,E1233,E1454,E1367,E1200	vacc/ocdcea,C01530,C01595,C06424,C01595,C00249,ttdcea	vaccenic acid/octadecenoate (n-C18:1)$octadecanoate (n-C18:0)$linoleic acid (all cis C18:2) n-6$tetradecanoate (n-C14:0)$linoleic acid (all cis C18:2) n-6$Hexadecanoate (n-C16:0)$tetradecenoate (n-C14:1)
Nitrogen metabolism	3	6	0.03764389547096882	E495,E613,E347	C00217/C00025/C05938,C00049/C00402,C02642/C00152	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Aspartate/D-Aspartate$N-Carbamoyl-beta-alanine/L-Asparagine
Di-unsaturated fatty acid beta-oxidation	2	3	0.043525754138307705	E1454,E1453	C01595,C01595	linoleic acid (all cis C18:2) n-6$linoleic acid (all cis C18:2) n-6
