,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
0,L-Lysine,L-lysine,43.1834545135498,36.78,6.4034545135497964,0.7790755717607116,M74.060176T43.1835,CHEBI:18019,18019,1,7
1,D-Alanine,D-alanine,43.0787734985352,83.03999999999999,39.96122650146479,0.3210333478140996,M90.05511T43.0788,CHEBI:15570,15570,56,85
2,D-Alanine,D-alanine,42.635311126709,83.03999999999999,40.40468887329099,0.15416225480397,M91.058456T42.6353,CHEBI:15570,15570,56,253
3,Cytosine,Cytosine,98.6643104553223,97.74,0.9243104553222992,0.1020968678938793,M112.050712T98.6643,CHEBI:16040,16040,60,285
4,Uracil,Uracil,82.3572845458984,83.03999999999999,0.6827154541015972,0.0477324875185338,M113.034836T82.3573_2,CHEBI:17568,17568,55,286
5,Uracil,Uracil,82.3377952575684,83.03999999999999,0.70220474243159,0.1920648624359811,M114.038184T82.3378,CHEBI:17568,17568,55,294
8,L-Allo-threonine,L-allo-threonine,162.343162536621,43.8,118.54316253662101,0.3721636802411517,M120.065868T162.3432_4,CHEBI:28718,28718,13,362
9,L-Allo-threonine,L-allo-threonine,43.1872940063477,43.8,0.6127059936522983,0.8716126693700275,M120.065675T43.1873,CHEBI:28718,28718,13,364
10,Nicotinamide,Nicotinamide,65.9432830810547,66.72,0.7767169189452972,0.1050916533435167,M123.055497T65.9433,CHEBI:17154,17154,48,389
11,Nicotinamide,Nicotinamide,65.7309646606445,66.72,0.989035339355496,0.0883926802500247,M124.058943T65.731,CHEBI:17154,17154,48,392
12,"5,6-Dihydrothymine",Dihydrothymine,34.210277557373,108.72,74.50972244262701,0.5374880021346562,M128.058725T34.2103_6,CHEBI:27468,27468,62,424
13,"5,6-Dihydrothymine",Dihydrothymine,43.6668243408203,108.72,65.0531756591797,0.1494680082872179,M129.066092T43.6668,CHEBI:27468,27468,62,427
14,"5,6-Dihydrothymine",Dihydrothymine,108.740852355957,108.72,0.020852355957003965,0.8177692998144539,M129.065978T108.7409,CHEBI:27468,27468,62,428
