,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index,eid
0,L-Lysine,L-lysine,43.1834545135498,36.78,6.4034545135497964,0.7790755717607116,M74.060176T43.1835,18019,18019,1,7,E24
1,Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,D-alanine,43.0787734985352,83.03999999999999,39.96122650146479,0.3210333478140996,M90.05511T43.0788,15570,15570,56,85,E82
2,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,416.981414794922,205.68,211.30141479492198,0.2669712351861268,M91.039322T416.9814,25858,25858,150,159,E112
3,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,416.981414794922,183.18,233.80141479492198,0.2669712351861268,M91.039322T416.9814,28946,28946,123,160,E112
4,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,435.116729736328,205.68,229.436729736328,0.6850571925477087,M91.039239T435.1167,25858,25858,150,176,E112
5,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,435.116729736328,183.18,251.936729736328,0.6850571925477087,M91.039239T435.1167,28946,28946,123,177,E112
6,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,360.945465087891,205.68,155.26546508789102,0.4740431080598404,M91.039315T360.9455,25858,25858,150,201,E112
7,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,360.945465087891,183.18,177.76546508789102,0.4740431080598404,M91.039315T360.9455,28946,28946,123,202,E112
8,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,395.382476806641,205.68,189.70247680664102,0.8038013881056719,M91.039305T395.3825,25858,25858,150,218,E112
9,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,395.382476806641,183.18,212.20247680664102,0.8038013881056719,M91.039305T395.3825,28946,28946,123,219,E112
10,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,319.927093505859,205.68,114.24709350585897,0.8509694229530494,M91.039305T319.9271,25858,25858,150,235,E112
11,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,319.927093505859,183.18,136.74709350585897,0.8509694229530494,M91.039305T319.9271,28946,28946,123,236,E112
12,"1,7-Dimethylxanthine; Paraxanthine$",Paraxanthine,288.945861816406,205.68,83.26586181640602,0.871575246466869,M91.039317T288.9459,25858,25858,150,252,E112
13,"1,7-Dimethylxanthine; Paraxanthine$",Theobromine,288.945861816406,183.18,105.76586181640602,0.871575246466869,M91.039317T288.9459,28946,28946,123,253,E112
14,Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,D-alanine,42.635311126709,83.03999999999999,40.40468887329099,0.15416225480397,M91.058456T42.6353,15570,15570,56,259,E82
15,Uracil,Uracil,82.3572845458984,83.03999999999999,0.6827154541015972,0.0477324875185338,M113.034836T82.3573_2,17568,17568,55,292,E189
16,Uracil,Uracil,82.3377952575684,83.03999999999999,0.70220474243159,0.1920648624359811,M114.038184T82.3378,17568,17568,55,300,E189
17,acetamidopropanal$D-Proline$L-Proline,D-(+)-proline,43.9530963897705,59.46,15.5069036102295,0.1109773130653904,M116.070821T43.9531_2,16313,16313,40,306,E217
18,acetamidopropanal$D-Proline$L-Proline,L-proline,43.9530963897705,44.94,0.986903610229497,0.1109773130653904,M116.070821T43.9531_2,17203,17203,22,307,E217
19,L-Allo-threonine$L-Threonine,L-allo-threonine,162.343162536621,43.8,118.54316253662101,0.3721636802411517,M120.065868T162.3432_4,28718,28718,13,370,E249
20,L-Allo-threonine$L-Threonine,L-allo-threonine,43.1872940063477,43.8,0.6127059936522983,0.8716126693700275,M120.065675T43.1873,28718,28718,13,372,E248
21,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.498007914058149,M123.044269T80.8438_2,17597,17597,199,392,E268
22,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,497.031219482422,241.02,256.011219482422,0.1099836121920877,M123.044225T497.0312,17597,17597,199,394,E270
23,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,203.605094909668,241.02,37.41490509033201,4.616661482705084e-05,M123.044107T203.6051,17597,17597,199,396,E269
24,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.2951957293874891,M124.047854T80.8438,17597,17597,199,399,E268
25,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),766.723541259766,91.08,675.6435412597659,0.447463334068345,M127.035382T766.7235,30830,30830,58,414,E294
26,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),893.367370605469,91.08,802.2873706054689,0.6622347961802649,M127.037823T893.3674,30830,30830,58,419,E295
27,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),872.002075195312,91.08,780.922075195312,0.2077694597521578,M127.03781T872.0021,30830,30830,58,424,E295
28,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),845.632385253906,91.08,754.552385253906,0.5166707813447171,M127.037799T845.6324,30830,30830,58,429,E295
29,Thymine$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate,4-imidazoleacetic acid,145.675567626953,157.26,11.58443237304698,0.6750395699230636,M127.049934T145.6756,16974,16974,105,431,E299
30,"5,6-Dihydrothymine",Dihydrothymine,34.210277557373,108.72,74.50972244262701,0.5374880021346562,M128.058725T34.2103_6,27468,27468,62,432,E301
31,"5,6-Dihydrothymine",Dihydrothymine,43.6668243408203,108.72,65.0531756591797,0.1494680082872179,M129.066092T43.6668,27468,27468,62,435,E301
32,"5,6-Dihydrothymine",Dihydrothymine,108.740852355957,108.72,0.020852355957003965,0.8177692998144539,M129.065978T108.7409,27468,27468,62,436,E302
33,"5,6-Dihydrothymine",Dihydrothymine,95.1093368530273,108.72,13.610663146972698,0.0460628199521178,M129.066101T95.1093,27468,27468,62,437,E302
34,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,45.7968521118164,240.71999999999997,194.92314788818356,0.9751188159410312,M130.050124T45.7969,18183,18183,197,439,E316
35,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.6810455322266,240.71999999999997,164.03895446777335,0.9156713380195808,M130.05014T76.681,18183,18183,197,443,E317
36,"5,6-Dihydrothymine",Dihydrothymine,43.6525001525879,108.72,65.06749984741211,0.3108416166224394,M130.069526T43.6525,27468,27468,62,451,E301
37,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,44.331729888916,240.71999999999997,196.38827011108395,0.6041183902772289,M131.053491T44.3317,18183,18183,197,456,E316
38,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.7079582214355,240.71999999999997,164.01204177856448,0.7460396378350653,M131.053884T76.708,18183,18183,197,459,E317
39,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,Creatine,291.514343261719,44.4,247.11434326171897,0.0268144994819747,M131.069792T291.5143,16919,16919,18,468,E345
40,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,203.955535888672,440.21999999999997,236.26446411132798,0.0001549642713602,M137.05979T203.9555,30745,30745,419,550,E387
41,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,497.065124511719,440.21999999999997,56.84512451171901,0.0776344450956027,M137.059891T497.0651,30745,30745,419,552,E390
42,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,378.632369995117,440.21999999999997,61.58763000488295,0.932976146989823,M137.059753T378.6324,30745,30745,419,554,E389
43,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,80.8362655639648,440.21999999999997,359.3837344360352,0.28027320138215,M137.059944T80.8363_1,30745,30745,419,556,E386
44,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,283.296691894531,440.21999999999997,156.92330810546895,0.5478517438019961,M137.059765T283.2967,30745,30745,419,558,E388
45,acetamidopropanal$D-Proline$L-Proline,D-(+)-proline,44.6210021972656,59.46,14.838997802734404,0.8771986882733952,M138.053521T44.621,16313,16313,40,576,E217
46,acetamidopropanal$D-Proline$L-Proline,L-proline,44.6210021972656,44.94,0.31899780273440115,0.8771986882733952,M138.053521T44.621,17203,17203,22,577,E217
47,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,378.619674682617,440.21999999999997,61.60032531738295,0.5411842984615178,M138.06353T378.6197,30745,30745,419,579,E389
48,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,264.738555908203,229.02,35.718555908203,0.0330335384916922,M139.039246T264.7386_2,30763,30763,176,582,E399
49,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,436.442138671875,229.02,207.422138671875,0.8202126558837548,M139.040322T436.4421,30763,30763,176,584,E400
