,compound_name,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
4,Uracil,Uracil,82.3572845458984,83.03999999999999,0.6827154541015972,0.0477324875185338,M113.034836T82.3573_2,CHEBI:17568,17568,55,286
15,"5,6-Dihydrothymine",Dihydrothymine,95.1093368530273,108.72,13.610663146972698,0.0460628199521178,M129.066101T95.1093,CHEBI:27468,27468,62,429
34,Guanidinoacetate,Guanidinoacetate,264.668640136719,43.26,221.408640136719,0.0460495111835673,M140.042869T264.6686_2,CHEBI:16344,16344,9,580
40,L-Glutamate,L-glutamic acid,43.1768455505371,269.64,226.46315444946288,0.0491728620509614,M148.060705T43.1768,CHEBI:16015,16015,236,634
48,5-Oxoproline,L-pyroglutamic acid,516.953979492188,240.71999999999997,276.233979492188,0.0006406907247874,M152.030988T516.954,CHEBI:18183,18183,197,676
58,L-Histidine,L-histidine,42.6355895996094,43.08,0.4444104003905949,0.0069673716303879,M156.077071T42.6356,CHEBI:15971,15971,6,747
59,L-Histidine,L-histidine,60.79345703125,43.08,17.71345703125,0.0077339207149691,M156.076881T60.7935,CHEBI:15971,15971,6,748
60,L-Histidine,L-histidine,42.44362449646,43.08,0.6363755035400018,0.0022990272644989,M157.08123T42.4436_3,CHEBI:15971,15971,6,752
66,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.525726318359,317.76,26.234273681641014,6.498414212922305e-05,M160.07578T291.5257,CHEBI:18086,18086,303,767
73,L-Phenylalanine,L-phenylalanine,162.410293579102,163.62,1.2097064208980157,0.04428625896819,M167.089818T162.4103_2,CHEBI:17295,17295,109,823
74,Pyridoxamine,Pyridoxamine,162.596374511719,169.08,6.483625488281007,0.0349458658504061,M168.090948T162.5964,CHEBI:16410,16410,112,831
81,Prostaglandin B1,Prostaglandin B1,586.581176757812,512.7,73.881176757812,0.0046011443864094,M169.122556T586.5812,CHEBI:27624,27624,460,850
82,L-Glutamate,L-glutamic acid,62.6563949584961,269.64,206.9836050415039,0.0078616638831279,M170.040785T62.6564,CHEBI:16015,16015,236,861
85,4-Hydroxyphenylacetate,4-hydroxyphenylacetic acid,267.066696166992,234.48,32.58669616699203,0.0202626523398294,M175.03687T267.0667,CHEBI:18101,18101,188,874
87,Indole-3-acetamide,Indole-3-acetamide,125.176258087158,123.60000000000001,1.5762580871579956,0.0004554474109491,M175.087302T125.1763,CHEBI:16031,16031,82,881
93,L-Histidine,L-histidine,41.2218132019043,43.08,1.8581867980957014,0.0162675036324795,M178.059049T41.2218,CHEBI:15971,15971,6,898
98,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.9310512542725,40.92,0.9889487457275052,5.8692018646200455e-05,M189.160141T39.9311,CHEBI:17311,17311,4,988
100,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",39.8824882507324,40.92,1.0375117492676011,4.616661482705084e-05,M190.163557T39.8825,CHEBI:17311,17311,4,990
101,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.142196655273,150.0,0.14219665527301117,0.0005492419491732,M191.058035T150.1422_1,CHEBI:27823,27823,98,1009
102,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,319.305313110352,150.0,169.30531311035202,4.616661482705084e-05,M192.065855T319.3053_2,CHEBI:27823,27823,98,1016
103,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.101318359375,150.0,0.101318359375,0.0001052925664625,M192.065825T150.1013_2,CHEBI:27823,27823,98,1018
106,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,150.108978271484,150.0,0.10897827148400552,0.0001919479512516,M193.069044T150.109,CHEBI:27823,27823,98,1027
108,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,319.299987792969,150.0,169.29998779296898,9.600576718505488e-05,M193.069272T319.3,CHEBI:27823,27823,98,1031
109,5-Hydroxyindoleacetate,5-hydroxyindoleacetate,86.9109954833984,150.0,63.089004516601605,1.1184601786794775e-05,M193.068543T86.911,CHEBI:27823,27823,98,1033
113,N-acetyl-L-alanine,N-acetyl-L-alanine,47.7445106506348,53.64,5.895489349365199,0.0113385550404905,M199.046551T47.7445,CHEBI:40992,40992,37,1062
120,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.506881713867,301.26,9.753118286132974,4.616661482705084e-05,M206.081449T291.5069_3,CHEBI:28281,28281,279,1116
124,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.516845703125,301.26,9.743154296874991,4.616661482705084e-05,M207.083957T291.5168,CHEBI:28281,28281,279,1133
125,L-Kynurenine,L-kynurenine,150.116195678711,151.2,1.0838043212889943,0.0004124292420933,M209.092336T150.1162_4,CHEBI:16946,16946,101,1135
126,L-Kynurenine,L-kynurenine,150.064407348633,151.2,1.1355926513669772,0.0001273341267813,M210.095655T150.0644_2,CHEBI:16946,16946,101,1137
128,"N6,N6,N6-Trimethyl-L-lysine","Nepsilon,nepsilon,nepsilon-trimethyllysine",40.1073112487793,40.92,0.8126887512207048,0.0012927955413557,M211.14208T40.1073,CHEBI:17311,17311,4,1144
132,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,125.007293701172,117.36,7.6472937011720035,9.085060724776078e-05,M221.092297T125.0073,CHEBI:17780,17780,67,1181
133,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,124.808631896973,117.36,7.448631896972998,5.683903771134942e-05,M222.095609T124.8086,CHEBI:17780,17780,67,1184
138,L-Kynurenine,L-kynurenine,150.06364440918,151.2,1.1363555908199885,0.0018738052357169,M231.074265T150.0636,CHEBI:16946,16946,101,1207
146,Bilirubin,Bilirubin,343.232452392578,439.20000000000005,95.96754760742203,0.0007473892366719,M293.138617T343.2325,CHEBI:16990,16990,416,1436
149,5-Methylthioadenosine,5'-methylthioadenosine,209.123718261719,209.82,0.6962817382809874,2.240101049490115e-05,M298.096815T209.1237,CHEBI:17509,17509,156,1477
151,5-Methylthioadenosine,5'-methylthioadenosine,209.117195129395,209.82,0.7028048706050072,1.1184601786794775e-05,M299.100502T209.1172,CHEBI:17509,17509,156,1482
152,Sphingosine,D-sphingosine,503.473098754883,503.04,0.43309875488296257,0.0145763384366311,M300.28967T503.4731,CHEBI:16393,16393,454,1487
153,Sphingosine,D-sphingosine,576.292816162109,503.04,73.25281616210901,0.0117754275727838,M300.289651T576.2928_2,CHEBI:16393,16393,454,1489
154,Sphingosine,D-sphingosine,576.3017578125,503.04,73.26175781249998,0.027895955364256,M301.292998T576.3018_4,CHEBI:16393,16393,454,1507
155,Sphingosine,D-sphingosine,503.033767700195,503.04,0.006232299804992181,0.0087299961487753,M301.293051T503.0338,CHEBI:16393,16393,454,1509
157,arachidonic acid,Arachidonic acid,599.190246582031,585.36,13.830246582031009,0.000445643127109,M305.245118T599.1902_2,CHEBI:15843,15843,508,1556
159,arachidonic acid,Arachidonic acid,545.32373046875,585.36,40.036269531250014,0.0254964896738092,M305.247366T545.3237,CHEBI:15843,15843,508,1560
161,arachidonic acid,Arachidonic acid,599.194122314453,585.36,13.834122314452998,0.0003880366033058,M306.248519T599.1941,CHEBI:15843,15843,508,1567
165,5-Methylthioadenosine,5'-methylthioadenosine,516.985463851563,209.82,307.16546385156306,0.0011752554048904,M320.080544T516.9855,CHEBI:17509,17509,156,1658
173,Prostaglandin B1,Prostaglandin B1,575.923370361328,512.7,63.223370361327966,0.0437861616005245,M337.234944T575.9234_2,CHEBI:27624,27624,460,1835
175,17alpha-Hydroxyprogesterone,17-hydroxyprogesterone,580.389099121094,458.82,121.56909912109398,0.0026563742582343,M353.211119T580.3891,CHEBI:17252,17252,429,1997
182,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,679.0048828125,550.32,128.68488281249995,0.0135885728557752,M402.240028T679.0049_2,CHEBI:37550,37550,487,2290
188,testosterone glucuronide,Epitestosterone glucuronide,718.398162841797,402.48,315.91816284179697,0.0081704855633303,M465.250499T718.3982_2,CHEBI:28835,28835,388,2556
136,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.522705078125,317.76,26.23729492187499,5.430860626366522e-05,M228.063301T291.5227,CHEBI:18086,18086,303,1201
163,Testosterone,Testosterone,452.144470214844,453.0,0.8555297851560226,0.0414674970205606,M311.198103T452.1445,CHEBI:17347,17347,424,1607
