,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index,eid
15,Uracil,Uracil,82.3572845458984,83.03999999999999,0.6827154541015972,0.0477324875185338,M113.034836T82.3573_2,17568,17568,55,292,E189
23,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,203.605094909668,241.02,37.41490509033201,4.616661482705084e-05,M123.044107T203.6051,17597,17597,199,396,E269
33,"5,6-Dihydrothymine",Dihydrothymine,95.1093368530273,108.72,13.610663146972698,0.0460628199521178,M129.066101T95.1093,27468,27468,62,437,E302
39,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,Creatine,291.514343261719,44.4,247.11434326171897,0.0268144994819747,M131.069792T291.5143,16919,16919,18,468,E345
40,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,203.955535888672,440.21999999999997,236.26446411132798,0.0001549642713602,M137.05979T203.9555,30745,30745,419,550,E387
48,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,264.738555908203,229.02,35.718555908203,0.0330335384916922,M139.039246T264.7386_2,30763,30763,176,582,E399
51,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,264.668640136719,229.02,35.64864013671897,0.0460495111835673,M140.042869T264.6686_2,30763,30763,176,591,E399
53,,Coumarin,503.791687011719,207.54,296.251687011719,0.0002698610110468,M147.042969T503.7917,28794,28794,152,636,E477
55,,Coumarin,204.716361999512,207.54,2.823638000487989,0.0230324785455537,M147.044336T204.7164,28794,28794,152,638,E476
60,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,43.1768455505371,269.64,226.46315444946288,0.0491728620509614,M148.060705T43.1768,16015,16015,236,654,E494
66,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,516.953979492188,240.71999999999997,276.233979492188,0.0006406907247874,M152.030988T516.954,18183,18183,197,704,E318
73,L-Histidine,L-histidine,42.6355895996094,43.08,0.4444104003905949,0.0069673716303879,M156.077071T42.6356,15971,15971,6,784,E600
74,L-Histidine,L-histidine,60.79345703125,43.08,17.71345703125,0.0077339207149691,M156.076881T60.7935,15971,15971,6,785,E601
75,L-Histidine,L-histidine,42.44362449646,43.08,0.6363755035400018,0.0022990272644989,M157.08123T42.4436_3,15971,15971,6,792,E600
77,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.525726318359,317.76,26.234273681641014,6.498414212922305e-05,M160.07578T291.5257,18086,18086,303,815,E649
84,L-Phenylalanine$,L-phenylalanine,162.410293579102,163.62,1.2097064208980157,0.04428625896819,M167.089818T162.4103_2,17295,17295,109,876,E686
85,Pyridoxamine,Pyridoxamine,162.596374511719,169.08,6.483625488281007,0.0349458658504061,M168.090948T162.5964,16410,16410,112,886,E747
92,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,62.6563949584961,269.64,206.9836050415039,0.0078616638831279,M170.040785T62.6564,16015,16015,236,918,E495
93,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,267.066696166992,234.48,32.58669616699203,0.0202626523398294,M175.03687T267.0667,18101,18101,188,935,E558
95,L-Histidine,L-histidine,41.2218132019043,43.08,1.8581867980957014,0.0162675036324795,M178.059049T41.2218,15971,15971,6,963,E600
106,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.142196655273,150.0,0.14219665527301117,0.0005492419491732,M191.058035T150.1422_1,27823,27823,98,1086,E960
107,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.305313110352,150.0,169.30531311035202,4.616661482705084e-05,M192.065855T319.3053_2,27823,27823,98,1094,E961
108,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.101318359375,150.0,0.101318359375,0.0001052925664625,M192.065825T150.1013_2,27823,27823,98,1096,E960
111,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,150.108978271484,150.0,0.10897827148400552,0.0001919479512516,M193.069044T150.109,27823,27823,98,1106,E960
113,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,319.299987792969,150.0,169.29998779296898,9.600576718505488e-05,M193.069272T319.3,27823,27823,98,1110,E961
114,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione",5-hydroxyindoleacetate,86.9109954833984,150.0,63.089004516601605,1.1184601786794775e-05,M193.068543T86.911,27823,27823,98,1112,E960
115,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,600.060821533203,532.3199999999999,67.74082153320307,0.0332791395313767,M197.153922T600.0608,28834,28834,476,1125,E1032
116,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,586.134521484375,532.3199999999999,53.814521484375064,0.0002110581428732,M197.153916T586.1345,28834,28834,476,1127,E1032
124,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,204.09765625,440.21999999999997,236.12234374999997,4.9699019404101216e-05,M205.047538T204.0977,30745,30745,419,1186,E387
131,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,222.648498535156,229.02,6.371501464844016,0.018010081753053,M207.026673T222.6485_2,30763,30763,176,1210,E398
138,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,125.007293701172,117.36,7.6472937011720035,9.085060724776078e-05,M221.092297T125.0073,17780,17780,67,1271,E1165
139,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,124.808631896973,117.36,7.448631896972998,5.683903771134942e-05,M222.095609T124.8086,17780,17780,67,1274,E1165
142,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.522705078125,317.76,26.23729492187499,5.430860626366522e-05,M228.063301T291.5227,18086,18086,303,1293,E649
144,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.122924804688,599.8199999999999,0.6970751953119816,0.0002024748404807,M283.263134T599.1229_1,16196,16196,514,1470,E581
145,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.160522460938,599.8199999999999,48.65947753906198,0.0001055244594317,M283.263163T551.1605_2,16196,16196,514,1471,E580
146,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.173065185547,599.8199999999999,48.64693481445295,0.0001486796945737,M284.266473T551.1731_2,16196,16196,514,1474,E580
147,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.235290527344,599.8199999999999,0.584709472655959,0.0003763321508384,M284.266569T599.2353,16196,16196,514,1475,E581
