"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"CE1944","NA","NA","NA","NA","NA","NA","NA","0"
"C01659","Acrylamide","HMDB0004296","6579","28619","C01659",NA,"NC(=O)C=C","1"
"C01888","Aminoacetone","HMDB0002134","215","17906","C01888","6502","CC(=O)CN","1"
"C05665","3-Aminopropionaldehyde","HMDB0001106","75","18090","C05665","6007","NCCC=O","1"
"C00047","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"C00937","D-Lactaldehyde","HMDB0006458","439350","17167","C00937",NA,"C[C@@H](O)C=O","1"
"C00424","Lactaldehyde","HMDB0003052","439231","18041","C00424","3214","C[C@H](O)C=O","1"
"C05235","Hydroxyacetone","HMDB0006961","8299","27957","C05235",NA,"CC(=O)CO","1"
"C00163","Propionic acid","HMDB0000237","1032","30768","C00163","3215","CCC(O)=O","1"
"C00037","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"C00213","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"C00041","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"C00099","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"C00133","D-Alanine","HMDB0001310","71080","15570","C00133",NA,"C[C@@H](N)C(O)=O","1"
"C00256","D-Lactic acid","HMDB0001311","61503","42111","C00256","6150","C[C@@H](O)C(O)=O","1"
"C01013","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"C00186","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"C00184","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","OCC(=O)CO","1"
"CE1950","NA","NA","NA","NA","NA","NA","NA","0"
"C00059","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"C02373","3a,7b,12a-Trihydroxy-5a-Cholanoic acid","HMDB0000432","129","17998","C02373","6155","[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@@]2([H])C[C@H](O)CC[C@]12C","1"
"C02356","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
"C01026","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"C00334","gamma-Aminobutyric acid","HMDB0000112","119","16865","C00334",NA,"NCCCC(O)=O","1"
"C05145","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(O)=O","1"
"C01205","(R)-beta-Aminoisobutyric acid","HMDB0002299","5459822","16320","C01205","6599","C[C@H](CN)C(O)=O","1"
"C03284","(S)-beta-Aminoisobutyric acid","HMDB0002166","439434","33094","C03284","6520","C[C@@H](CN)C(O)=O","1"
"C00065","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"C00740","D-Serine","HMDB0003406","71077","16523","C00740","6920","N[C@H](CO)C(O)=O","1"
"C16604","2-Hydroxyiminostilbene","HMDB0060652","13103864","80599","C16604",NA,"OC1=CC=C2NC3=CC=CC=C3C=CC2=C1","1"
"C00106","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"C04221","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","10702","C04221","6046","O[C@@H]1C=CC=C[C@H]1O","1"
"CE4788","NA","NA","NA","NA","NA","NA","NA","0"
"C00763","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"C00148","Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"C06755","Chloroacetic acid","HMDB0031331","300","27869","C06755",NA,"OC(=O)CCl","1"
"C00719","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"C00431","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(O)=O","1"
"C00183","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"C05519","L-Allothreonine","HMDB0004041","99289","28718","C05519","7007","C[C@H](O)[C@H](N)C(O)=O","1"
"C00188","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"C00601","Phenylacetaldehyde","HMDB0006236","998","16424","C00601",NA,"O=CCC1=CC=CC=C1","1"
"C00180","Benzoic acid","HMDB0001870","243","30746","C00180","1297","OC(=O)C1=CC=CC=C1","1"
"C00633","4-Hydroxybenzaldehyde","HMDB0011718","126","17597","C00633",NA,"OC1=CC=C(C=O)C=C1","1"
"C05984","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"C01089","3-Hydroxybutyric acid","HMDB0000011","441","17066","C01089",NA,"C[C@@H](O)CC(O)=O","1"
"C03197","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","17290","C03197",NA,"C[C@H](O)CC(O)=O","1"
"C06001","(S)-3-Hydroxyisobutyric acid","HMDB0000023","440873","37373","C06001","483","C[C@@H](CO)C(O)=O","1"
"C00989","4-Hydroxybutyric acid","HMDB0000710","10413","30830","C00989","5678","OCCCC(O)=O","1"
"C00178","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"C02835","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","OC(=O)CC1=CN=CN1","1"
"C00906","Dihydrothymine","HMDB0000079","676414","27468","C00906","5135","C[C@H]1CNC(=O)NC1=O","1"
"C01879","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"C04281","Pyrroline hydroxycarboxylic acid","HMDB0001369","1059","27391","C04281","6196","OC1CC(N=C1)C(O)=O","1"
"C04282","1-Pyrroline-4-hydroxy-2-carboxylate","HMDB0002234","440282","16352","C04282","6564","OC1CN=C(C1)C(O)=O","1"
"C00233","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"C06102","Adipate semialdehyde","HMDB0012882","440918","2490","C06102",NA,"OC(=O)CCCCC=O","1"
"C03465","NA","NA","NA","NA","NA","NA","NA","0"
"C00149","Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"C00320","Thiosulfate","HMDB0000257","1085","5587","C00320","5260","OS(S)(=O)=O","1"
"C02505","2-Phenylacetamide","HMDB0010715","7680","16562","C02505",NA,"NC(=O)CC1=CC=CC=C1","1"
"C07086","Phenylacetic acid","HMDB0000209","999","30745","C07086","129","OC(=O)CC1=CC=CC=C1","1"
"C03765","4-Hydroxyphenylacetaldehyde","HMDB0003767","440113","15621","C03765",NA,"OC1=CC=C(CC=O)C=C1","1"
"C06078","Polylimonene","HMDB0032473","22311","15384","C06078",NA,"CC(=C)C1CCC(C)=CC1","1"
"C00521","(-)-Limonene","HMDB0004321","439250","15383","C00521","6911","CC(=C)[C@H]1CCC(C)=CC1","1"
"C06099","(+)-Limonene","HMDB0003375","440917","15382","C06099","6911","CC(=C)[C@@H]1CCC(C)=CC1","1"
"C05585","Gentisate aldehyde","HMDB0004062","70949","28508","C05585",NA,"OC1=CC(C=O)=C(O)C=C1","1"
"C00156","4-Hydroxybenzoic acid","HMDB0000500","135","30763","C00156","5486","OC(=O)C1=CC=C(O)C=C1","1"
"C00346","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"C05543","NA","NA","NA","NA","NA","NA","NA","0"
"C05851","Coumarin","HMDB0001218","323","28794","C05851","3525","O=C1OC2=CC=CC=C2C=C1","1"
"C06006","(S)-2-Aceto-2-hydroxybutanoic acid","HMDB0006900","440875","27681","C06006",NA,"CC[C@](O)(C(C)=O)C(O)=O","1"
"C00064","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"C05100","Ureidoisobutyric acid","HMDB0002031","88558720","1670","C05100",NA,"C[C@@H](CNC(N)=O)C(O)=O","1"
"C00819","D-Glutamine","HMDB0003423","145815","17061","C00819","6926","N[C@H](CCC(N)=O)C(O)=O","1"
"C02646","4-Coumaryl alcohol","HMDB0003654","5280535","64555","C02646","6971","OC\C=C\C1=CC=C(O)C=C1","1"
"C07649","Fluorouracil","HMDB0014684","3385","46345","C07649",NA,"FC1=CNC(=O)NC1=O","1"
"C04043","3,4-Dihydroxyphenylacetaldehyde","HMDB0003791","119219","27978","C04043",NA,"OC1=C(O)C=C(CC=O)C=C1","1"
"C00642","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"C05852","ortho-Hydroxyphenylacetic acid","HMDB0000669","11970","28478","C05852","5639","OC(=O)CC1=C(O)C=CC=C1","1"
"C01762","Xanthosine","HMDB0000299","64959","18107","C01762","3408","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O","1"
"C00300","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"C02642","Ureidopropionic acid","HMDB0000026","111","18261","C02642","5097","NC(=O)NCCC(O)=O","1"
"C00152","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"CE2577","NA","NA","NA","NA","NA","NA","NA","0"
"C00135","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"C05650","Tetrahydropteridine","HMDB0001216","156","28889","C05650","6086","C1CNC2=C(N1)C=NC=N2","1"
"C00637","Indoleacetaldehyde","HMDB0001190","800","18086","C00637","6068","O=CCC1=CNC2=C1C=CC=C2","1"
"C03087","5-Acetamidovalerate","HMDB0012175","439903","2024","C03087",NA,"CC(=O)NCCCCC(O)=O","1"
"C00322","Oxoadipic acid","HMDB0000225","71","15753","C00322","5234","OC(=O)CCCC(=O)C(O)=O","1"
"C00219","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"C05838","Coumarinic acid","HMDB0041592","5280841","28873","C05838",NA,"OC(=O)\C=C/C1=C(O)C=CC=C1","1"
"C00811","4-Hydroxycinnamic acid","HMDB0002035","637542","32374","C00811","6450","OC(=O)\C=C\C1=CC=C(O)C=C1","1"
"C02763","Enol-phenylpyruvate","HMDB0012225","641637","16815","C02763",NA,"OC(=O)C(\O)=C\C1=CC=CC=C1","1"
"C00166","Phenylpyruvic acid","HMDB0000205","997","30851","C00166","328","OC(=O)C(=O)CC1=CC=CC=C1","1"
"C01019","L-Fucose","HMDB0000174","17106","42548","C01019","5812","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"C00079","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"CE2172","NA","NA","NA","NA","NA","NA","NA","0"
"peracd","NA","NA","NA","NA","NA","NA","NA","0"
"C15853","Dehydrospermidine","HMDB0012925",NA,"48007","C15853",NA,"NCCC\C=N\CCCN","1"
"3spyr","NA","NA","NA","NA","NA","NA","NA","0"
