"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1-pyrroline","1-Pyrroline","HMDB0012497","79803","19092","C15668",NA,"C1CC=NC1","1"
"Methylarsonate","Methylarsonate","HMDB0012258","8948","29852","C07294",NA,"C[As](O)(O)=O","1"
"Acrylamide","Acrylamide","HMDB0004296","6579","28619","C01659",NA,"NC(=O)C=C","1"
"Octanoic acid","Caprylic acid","HMDB0000482","379","28837","C06423","5469","CCCCCCCC(O)=O","1"
"Aminoacetone","Aminoacetone","HMDB0002134","215","17906","C01888","6502","CC(=O)CN","1"
"beta-Aminopropion aldehyde","3-Aminopropionaldehyde","HMDB0001106","75","18090","C05665","6007","NCCC=O","1"
"L-Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"(R)-Lactaldehyde","D-Lactaldehyde","HMDB0006458","439350","17167","C00937",NA,"C[C@@H](O)C=O","1"
"(S)-Lactaldehyde","Lactaldehyde","HMDB0003052","439231","18041","C00424","3214","C[C@H](O)C=O","1"
"Hydroxyacetone","Hydroxyacetone","HMDB0006961","8299","27957","C05235",NA,"CC(=O)CO","1"
"Propionate (n-C3:0)","NA","NA","NA","NA","NA","NA","NA","0"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"Cysteamine","Cysteamine","HMDB0002991","6058","17141","C01678","3222","NCCS","1"
"Urea","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"2-Aminoacrylate","2-Aminoacrylic acid","HMDB0003609","123991","17123","C02218",NA,"NC(=C)C(O)=O","1"
"Sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"beta-Alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"D-Alanine","D-Alanine","HMDB0001310","71080","15570","C00133",NA,"C[C@@H](N)C(O)=O","1"
"D-Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"3-Hydroxypropanoate","Hydroxypropionic acid","HMDB0000700","68152","33404","C01013","5668","OCCC(O)=O","1"
"L-Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Dihydroxyacetone","Dihydroxyacetone","HMDB0001882","670","16016","C00184","6368","OCC(=O)CO","1"
"D-Glucose","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"beta-D-Glucose","beta-D-Glucose",NA,NA,NA,"C00221",NA,NA,"1"
"beta-D-Fructose","beta-D-Fructose",NA,NA,NA,"C02336",NA,NA,"1"
"alpha-D-Glucose","alpha-D-Glucose","HMDB0003345","79025","17925","C00267","6897","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"beta-D-Galactose","beta-D-Galactose","HMDB0003449","439353","27667","C00962","6933","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"D-Tagatose","D-Tagatose","HMDB0003418","14408225","49092","C00795","135","OC[C@@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"alpha-D-Galactose","alpha-D-Galactose",NA,NA,NA,"C00984",NA,NA,"1"
