,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_KEGG,ui_KEGG,gt_index,ui_index
0,L-Lysine,L-lysine,43.18345451,36.78,6.403454509999996,0.7755572,M74.060176T43.1835,C00047,C00047,1,4
1,Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,D-alanine,43.0787735,83.03999999999999,39.961226499999995,0.322564169,M90.05511T43.0788,C00133,C00133,56,13
2,Uracil,Uracil,82.35728455,83.03999999999999,0.6827154499999892,0.050105633,M113.034836T82.3573_2,C00106,C00106,55,35
3,acetamidopropanal$D-Proline$L-Proline,D-(+)-proline,43.95309639,59.46,15.506903610000002,0.1124696091092251,M116.070821T43.9531_2,C00763,C00763,40,38
4,acetamidopropanal$D-Proline$L-Proline,L-proline,43.95309639,44.94,0.9869036099999988,0.1124696091092251,M116.070821T43.9531_2,C00148,C00148,22,39
5,L-Allo-threonine$L-Threonine,L-allo-threonine,162.3431625,43.8,118.54316250000001,0.3714158319430415,M120.065868T162.3432_4,C05519,C05519,13,53
6,L-Allo-threonine$L-Threonine,L-allo-threonine,43.18729401,43.8,0.6127059899999949,0.8700415347574554,M120.065675T43.1873,C05519,C05519,13,55
7,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.4951603417510292,M123.044269T80.8438_2,C00633,C00633,199,65
8,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.2979645263806046,M124.047854T80.8438,C00633,C00633,199,67
9,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),766.7235413,91.08,675.6435412999999,0.4441605670772019,M127.035382T766.7235,C00989,C00989,58,72
10,Thymine$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate,4-imidazoleacetic acid,145.6755676,157.26,11.584432399999997,0.6761033501271951,M127.049934T145.6756,C02835,C02835,105,74
11,"5,6-Dihydrothymine",Dihydrothymine,34.21027756,108.72,74.50972243999999,0.5355431544108075,M128.058725T34.2103_6,C00906,C00906,62,75
12,"5,6-Dihydrothymine",Dihydrothymine,108.7408524,108.72,0.02085239999999544,0.8123025530144102,M129.065978T108.7409,C00906,C00906,62,76
13,"5,6-Dihydrothymine",Dihydrothymine,95.10933685,108.72,13.610663149999993,0.0480304276858874,M129.066101T95.1093,C00906,C00906,62,77
14,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,45.79685211,240.71999999999997,194.92314788999997,0.9729654169585088,M130.050124T45.7969,C01879,C01879,197,78
15,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.68104553,240.71999999999997,164.03895446999996,0.9153000510090696,M130.05014T76.681,C01879,C01879,197,81
16,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,44.33172989,240.71999999999997,196.38827010999998,0.6043322964215226,M131.053491T44.3317,C01879,C01879,197,84
17,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.70795822,240.71999999999997,164.01204177999998,0.7454537397809847,M131.053884T76.708,C01879,C01879,197,87
18,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,80.83626556,440.21999999999997,359.38373443999996,0.2837724938584118,M137.059944T80.8363_1,C07086,C07086,419,96
19,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,436.4421387,229.02,207.42213869999998,0.815262108,M139.040322T436.4421,C00156,C00156,176,106
20,L-Allo-threonine$L-Threonine,L-allo-threonine,42.6430645,43.8,1.156935499999996,0.8285735830837124,M142.047854T42.6431,C05519,C05519,13,110
21,,Coumarin,503.791687,207.54,296.25168700000006,0.000333714,M147.042969T503.7917,C05851,C05851,152,113
22,,Coumarin,80.84344482,207.54,126.69655517999999,0.4558311366471567,M147.044313T80.8434_1,C05851,C05851,152,114
23,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,62.19918251,43.92,18.27918251,0.7781104076568801,M147.076352T62.1992_1,C00064,C00064,15,117
24,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,43.29953384,43.92,0.6204661599999994,0.069615699,M147.076473T43.2995,C00064,C00064,15,120
25,L-Lysine,L-lysine,36.6283493,36.78,0.15165069999999758,0.8257151355152514,M147.113048T36.6283_2,C00047,C00047,1,123
26,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,43.61069679,43.92,0.30930321000000305,0.1608411674741469,M148.080024T43.6107,C00064,C00064,15,124
27,L-Lysine,L-lysine,36.55429077,36.78,0.22570922999999965,0.9078162850429822,M148.117029T36.5543,C00047,C00047,1,127
28,"5,6-Dihydrothymine",Dihydrothymine,42.63454437,108.72,66.08545563,0.1107542932348328,M151.048123T42.6345,C00906,C00906,62,128
