,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
0,L-Lysine,L-lysine,43.18345451,36.78,6.403454509999996,0.7755572,M74.060176T43.1835,18019,18019,1,4
1,Sarcosine; N-Methylglycine$L-Alanine$beta-Alanine$D-Alanine,D-alanine,43.0787735,83.03999999999999,39.961226499999995,0.322564169,M90.05511T43.0788,15570,15570,56,13
2,Uracil,Uracil,82.35728455,83.03999999999999,0.6827154499999892,0.050105633,M113.034836T82.3573_2,17568,17568,55,35
3,acetamidopropanal$D-Proline$L-Proline,D-(+)-proline,43.95309639,59.46,15.506903610000002,0.1124696091092251,M116.070821T43.9531_2,16313,16313,40,38
4,acetamidopropanal$D-Proline$L-Proline,L-proline,43.95309639,44.94,0.9869036099999988,0.1124696091092251,M116.070821T43.9531_2,17203,17203,22,39
5,L-Allo-threonine$L-Threonine,L-allo-threonine,162.3431625,43.8,118.54316250000001,0.3714158319430415,M120.065868T162.3432_4,28718,28718,13,53
6,L-Allo-threonine$L-Threonine,L-allo-threonine,43.18729401,43.8,0.6127059899999949,0.8700415347574554,M120.065675T43.1873,28718,28718,13,55
7,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.4951603417510292,M123.044269T80.8438_2,17597,17597,199,65
8,Benzoate; Benzoic acid; Benzenecarboxylic acid; Phenylformic acid; Dracylic acid$4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde,4-hydroxybenzaldehyde,80.84375,241.02,160.17625,0.2979645263806046,M124.047854T80.8438,17597,17597,199,67
9,2-Hydroxybutyrate$(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid$(S)-3-Hydroxybutanoate$(S)-3-Hydroxyisobutyrate$4-Hydroxybutanoic acid; 4-Hydroxybutanoate; 4-Hydroxybutyric acid,4-hydroxybutyric acid (GHB),766.7235413,91.08,675.6435412999999,0.4441605670772019,M127.035382T766.7235,30830,30830,58,72
10,Thymine$Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate,4-imidazoleacetic acid,145.6755676,157.26,11.584432399999997,0.6761033501271951,M127.049934T145.6756,16974,16974,105,74
11,"5,6-Dihydrothymine",Dihydrothymine,34.21027756,108.72,74.50972243999999,0.5355431544108075,M128.058725T34.2103_6,27468,27468,62,75
12,"5,6-Dihydrothymine",Dihydrothymine,108.7408524,108.72,0.02085239999999544,0.8123025530144102,M129.065978T108.7409,27468,27468,62,76
13,"5,6-Dihydrothymine",Dihydrothymine,95.10933685,108.72,13.610663149999993,0.0480304276858874,M129.066101T95.1093,27468,27468,62,77
14,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,45.79685211,240.71999999999997,194.92314788999997,0.9729654169585088,M130.050124T45.7969,18183,18183,197,78
15,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.68104553,240.71999999999997,164.03895446999996,0.9153000510090696,M130.05014T76.681,18183,18183,197,81
16,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,44.33172989,240.71999999999997,196.38827010999998,0.6043322964215226,M131.053491T44.3317,18183,18183,197,84
17,5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate,L-pyroglutamic acid,76.70795822,240.71999999999997,164.01204177999998,0.7454537397809847,M131.053884T76.708,18183,18183,197,87
18,Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetiic acid$4-Hydroxyphenylacetaldehyde,Phenylacetic acid,80.83626556,440.21999999999997,359.38373443999996,0.2837724938584118,M137.059944T80.8363_1,30745,30745,419,96
19,Gentisate aldehyde$4-Hydroxybenzoate,4-hydroxybenzoate,436.4421387,229.02,207.42213869999998,0.815262108,M139.040322T436.4421,30763,30763,176,106
20,L-Allo-threonine$L-Threonine,L-allo-threonine,42.6430645,43.8,1.156935499999996,0.8285735830837124,M142.047854T42.6431,28718,28718,13,110
21,,Coumarin,503.791687,207.54,296.25168700000006,0.000333714,M147.042969T503.7917,28794,28794,152,113
22,,Coumarin,80.84344482,207.54,126.69655517999999,0.4558311366471567,M147.044313T80.8434_1,28794,28794,152,114
23,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,62.19918251,43.92,18.27918251,0.7781104076568801,M147.076352T62.1992_1,18050,18050,15,117
24,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,43.29953384,43.92,0.6204661599999994,0.069615699,M147.076473T43.2995,18050,18050,15,120
25,L-Lysine,L-lysine,36.6283493,36.78,0.15165069999999758,0.8257151355152514,M147.113048T36.6283_2,18019,18019,1,123
26,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,43.61069679,43.92,0.30930321000000305,0.1608411674741469,M148.080024T43.6107,18050,18050,15,124
27,L-Lysine,L-lysine,36.55429077,36.78,0.22570922999999965,0.9078162850429822,M148.117029T36.5543,18019,18019,1,127
28,"5,6-Dihydrothymine",Dihydrothymine,42.63454437,108.72,66.08545563,0.1107542932348328,M151.048123T42.6345,27468,27468,62,128
29,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,263.0335083,234.48,28.553508300000004,0.6565265936403728,M153.054049T263.0335,18101,18101,188,135
30,"3,4-Dihydroxyphenylacetaldehyde; Protocatechuatealdehyde$4-Hydroxyphenylacetate$2-Hydroxyphenylacetate",4-hydroxyphenylacetic acid,263.0867157,234.48,28.606715700000024,0.3783000022269864,M154.058618T263.0867,18101,18101,188,139
31,Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine,Creatine,263.0867157,44.4,218.6867157,0.3783000022269864,M154.058618T263.0867,16919,16919,18,141
32,L-Histidine,L-histidine,60.79345703,43.08,17.71345703,0.008653628,M156.076881T60.7935,15971,15971,6,146
33,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.983902,317.76,117.77609799999999,0.5093768672005524,M160.07572T199.9839,18086,18086,303,150
34,Indole-3-acetaldehyde,Indole-3-acetaldehyde,381.0351896,317.76,63.27518960000003,0.667013809,M160.075976T381.0352,18086,18086,303,151
35,Indole-3-acetaldehyde,Indole-3-acetaldehyde,199.4473724,317.76,118.31262759999998,0.4078021244709586,M161.079275T199.4474,18086,18086,303,154
36,arachidonic acid,Arachidonic acid,43.25522041,585.36,542.10477959,0.4894895293401499,M164.118059T43.2552_2,15843,15843,508,155
37,L-Phenylalanine$,L-phenylalanine,162.4150543,163.62,1.2049456999999961,0.052684637,M166.086508T162.4151_6,17295,17295,109,161
38,L-Phenylalanine$,L-phenylalanine,162.4102936,163.62,1.209706400000016,0.046225477,M167.089818T162.4103_2,17295,17295,109,168
39,Pyridoxamine,Pyridoxamine,162.5963745,169.08,6.4836255000000165,0.036458055,M168.090948T162.5964,16410,16410,112,173
40,L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid,L-glutamine,42.57835007,43.92,1.3416499300000027,0.2024177663849033,M169.058404T42.5784,18050,18050,15,178
41,L-Lysine,L-lysine,38.20912552,36.78,1.4291255199999995,0.7570211543996864,M169.094911T38.2091_2,18019,18019,1,181
42,Pyridoxamine,Pyridoxamine,167.6165924,169.08,1.4634076000000107,0.4564789581115535,M169.096734T167.6166,16410,16410,112,182
43,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,62.65639496,269.64,206.98360504,0.008779164,M170.040785T62.6564,16015,16015,236,185
44,L-Histidine,L-histidine,41.2218132,43.08,1.8581867999999986,0.0169946548530323,M178.059049T41.2218,15971,15971,6,190
45,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,346.8885498,205.68,141.20854980000001,0.3225869785593052,M181.071396T346.8885,25858,25858,150,199
46,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,346.8885498,183.18,163.70854980000001,0.3225869785593052,M181.071396T346.8885,28946,28946,123,200
47,L-Tyrosine$,L-tyrosine,80.90288162,77.04,3.862881619999996,0.4239567172941694,M182.081511T80.9029_5,17895,17895,51,205
48,L-Tyrosine$,L-tyrosine,80.90106964,77.04,3.8610696399999966,0.3588731548410575,M183.084823T80.9011_2,17895,17895,51,208
49,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione$N-Acetylmethionine",5-hydroxyindoleacetate,196.6753159,150.0,46.67531589999999,0.8257151355152514,M192.067214T196.6753_3,27823,27823,98,227
50,"5-Hydroxyindoleacetate$5-Phenyl-1,3-oxazinane-2,4-dione$N-Acetylmethionine",N-acetylmethionine,196.6753159,241.14000000000001,44.46468410000003,0.8257151355152514,M192.067214T196.6753_3,21557,21557,201,229
51,"3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",Deoxycholate,617.2410583,532.3199999999999,84.92105830000003,0.5269103468358738,M197.653575T617.2411_1,28834,28834,476,236
52,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Paraxanthine,42.60302734,205.68,163.07697266000002,0.1352633207260456,M203.052973T42.603_8,25858,25858,150,247
53,"D-Glucose$beta-D-Glucose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$beta-D-Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$1,7-Dimethylxanthine; Paraxanthine$$alpha-D-Galactose$D-Mannose",Theobromine,42.60302734,183.18,140.57697266000002,0.1352633207260456,M203.052973T42.603_8,28946,28946,123,248
54,L-Tryptophan$D-Tryptophan,L-tryptophan,199.419281,200.64,1.2207189999999741,0.7018276835934618,M205.097436T199.4193_6,16828,16828,144,253
55,L-Tryptophan$D-Tryptophan,D-tryptophan,199.419281,234.42000000000002,35.000719000000004,0.7018276835934618,M205.097436T199.4193_6,16296,16296,187,254
56,L-Tryptophan$D-Tryptophan,L-tryptophan,199.4196472,200.64,1.2203527999999721,0.705807468,M206.100724T199.4196_3,16828,16828,144,255
57,L-Tryptophan$D-Tryptophan,D-tryptophan,199.4196472,234.42000000000002,35.0003528,0.705807468,M206.100724T199.4196_3,16296,16296,187,256
58,,Azelaic acid,402.3057556,304.56,97.7457556,0.6213656123667263,M211.094221T402.3058,48131,48131,286,258
59,5-Hydroxy-L-tryptophan,L-5-hydroxytryptophan,199.9666367,117.36,82.60663670000001,0.5301820003121258,M221.092091T199.9666,17780,17780,67,262
60,$6-Hydroxymelatonin,6-hydroxymelatonin,33.62163353,353.04,319.41836647,0.5067696536594177,M271.102696T33.6216,2198,2198,333,283
61,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1605225,599.8199999999999,48.65947749999998,0.000133292,M283.263163T551.1605_2,16196,16196,514,285
62,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1730652,599.8199999999999,48.64693479999994,0.000201241,M284.266473T551.1731_2,16196,16196,514,286
63,3-Dehydrosphinganine$Sphingosine,D-sphingosine,576.2928162,503.04,73.25281619999993,0.012548539136386,M300.289651T576.2928_2,16393,16393,454,315
64,arachidonic acid,Arachidonic acid,38.07123947,585.36,547.28876053,0.5795832969618434,M305.245339T38.0712,15843,15843,508,323
65,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,38.07123947,599.8199999999999,561.7487605299999,0.5795832969618434,M305.245339T38.0712,16196,16196,514,324
66,Ubiquinone,Coenzyme Q1,586.5848083,379.62,206.96480829999996,0.0001307,M319.19282T586.5848,46234,46234,365,344
67,Ubiquinone,Coenzyme Q1,692.7913208,379.62,313.1713208,0.5561102454386789,M319.193194T692.7913,46234,46234,365,345
68,Ubiquinone,Coenzyme Q1,731.7684631,379.62,352.14846309999996,0.8617678033674986,M319.193368T731.7685,46234,46234,365,346
69,Ubiquinone,Coenzyme Q1,669.9451294,379.62,290.32512940000004,0.2868631861540239,M319.19335T669.9451,46234,46234,365,347
70,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,676.2363281,550.32,125.91632809999999,0.6905187048095455,M379.250628T676.2363_3,37550,37550,487,471
71,Sphingosine 1-phosphate,D-erythro-sphingosine 1-phosphate,693.4037781,550.32,143.0837780999999,0.8513751514659597,M380.258133T693.4038,37550,37550,487,472
