,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_chebi,ui_chebi,gt_index,ui_index
13,"5,6-Dihydrothymine",Dihydrothymine,95.10933685,108.72,13.610663149999993,0.0480304276858874,M129.066101T95.1093,27468,27468,62,77
21,,Coumarin,503.791687,207.54,296.25168700000006,0.000333714,M147.042969T503.7917,28794,28794,152,113
32,L-Histidine,L-histidine,60.79345703,43.08,17.71345703,0.008653628,M156.076881T60.7935,15971,15971,6,146
38,L-Phenylalanine$,L-phenylalanine,162.4102936,163.62,1.209706400000016,0.046225477,M167.089818T162.4103_2,17295,17295,109,168
39,Pyridoxamine,Pyridoxamine,162.5963745,169.08,6.4836255000000165,0.036458055,M168.090948T162.5964,16410,16410,112,173
43,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde,L-glutamic acid,62.65639496,269.64,206.98360504,0.008779164,M170.040785T62.6564,16015,16015,236,185
44,L-Histidine,L-histidine,41.2218132,43.08,1.8581867999999986,0.0169946548530323,M178.059049T41.2218,15971,15971,6,190
61,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1605225,599.8199999999999,48.65947749999998,0.000133292,M283.263163T551.1605_2,16196,16196,514,285
62,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.1730652,599.8199999999999,48.64693479999994,0.000201241,M284.266473T551.1731_2,16196,16196,514,286
63,3-Dehydrosphinganine$Sphingosine,D-sphingosine,576.2928162,503.04,73.25281619999993,0.012548539136386,M300.289651T576.2928_2,16393,16393,454,315
66,Ubiquinone,Coenzyme Q1,586.5848083,379.62,206.96480829999996,0.0001307,M319.19282T586.5848,46234,46234,365,344
80,Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$testosterone glucuronide,Epitestosterone glucuronide,718.3981628,402.48,315.9181628,0.00909437,M465.250499T718.3982_2,28835,28835,388,546
81,"O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4",Levothyroxine,435.1279602,435.9,0.7720397999999591,0.040436501,M777.692956T435.128,18332,18332,413,563
