pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Limonene and pinene degradation	2	3	0.008906814553398874	E106,E105	C06078/C00521/C06099,C06078/C00521/C06099	/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene$/(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene/(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene
Vitamin B9 (folate) metabolism	2	4	0.017141416687673303	E42,E215	C00065/C00740,C00217/C00025/C05938	L-Serine/D-Serine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Purine metabolism	3	9	0.020418452230904965	E216,E210,E215	C04751,C00366,C00217/C00025/C05938	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate$Urate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycerophospholipid metabolism	4	15	0.022855222250231073	E118,E417,E170,E42	C00346,C00836,C05650,C00065/C00740	Ethanolamine phosphate$Sphinganine$Tetrahydropteridine; 5,6,7,8-Tetrahydropteridine$L-Serine/D-Serine
Glycosphingolipid metabolism	3	11	0.045122258633728256	E118,E417,E42	C00346,C00836,C00065/C00740	Ethanolamine phosphate$Sphinganine$L-Serine/D-Serine
Methionine and cysteine metabolism	3	12	0.05697000252079657	E42,E215,E195	C00065/C00740,C00217/C00025/C05938,	L-Serine/D-Serine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Histidine metabolism	2	7	0.06915385261742711	E157,E215	,C00217/C00025/C05938	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Drug metabolism - cytochrome P450	2	7	0.06915385261742711	E43,E140	,	$
Pyrimidine metabolism	3	14	0.08058146374254264	E530,E215,E426	,C00217/C00025/C05938,	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$
Vitamin B3 (nicotinate and nicotinamide) metabolism	1	2	0.08074951684732376	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aminosugars metabolism	1	2	0.08074951684732376	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Linoleate metabolism	2	9	0.10746996050752038	E414,E455	,	$
Beta-Alanine metabolism	2	9	0.10746996050752038	E157,E215	,C00217/C00025/C05938	$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Nitrogen metabolism	1	3	0.11780522645155869	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
C21-steroid hormone biosynthesis and metabolism	2	10	0.13166960759600033	E553,E436	,	$
Sialic acid metabolism	1	4	0.15578522813208975	E42	C00065/C00740	L-Serine/D-Serine
Electron transport chain	1	4	0.15578522813208975	E426		
Fatty acid oxidation	1	4	0.15578522813208975	E426		
Xenobiotics metabolism	1	4	0.15578522813208975	E128		
Putative anti-Inflammatory metabolites formation from EPA	1	5	0.18670699941181412	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Androgen and estrogen biosynthesis and metabolism	1	5	0.18670699941181412	E553		
Glutathione Metabolism	1	5	0.18670699941181412	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Glutamate metabolism	1	5	0.18670699941181412	E215	C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Leukotriene metabolism	2	13	0.18973195529787412	E445,E483	,	$
